"scenario","incorp.sf","t.incorp.sf","app.mthd.rl","app.mthd.sf","app.rate.ni","app.timing","air.temp","wind.2m","rain.rate","ct","tan.app","man.source","man.dm","man.ph","app.mthd","id","stype","EF.field","source","rdDM.lf","dpH.lf","id.sep","TAN.sep.eff.sf","incorp","t.incorp","EFp.field"
"ref","none",NA,"Trailing hose","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",6.5,7,"Trailing hose","raw 28","raw",0.3129,NA,NA,NA,NA,NA,"none",NA,31.29
"ref","none",NA,"Open slot injection","(None)",0,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",6.5,7,"Open slot injection","raw 29","raw",0.1504,NA,NA,NA,NA,NA,"none",NA,15.04
"ref","none",NA,"Trailing shoe","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",6.5,7,"Trailing shoe","raw 30","raw",0.2469,NA,NA,NA,NA,NA,"none",NA,24.69
"ref","none",NA,"Trailing hose","(None)",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Digestate",5.9,7.9,"Trailing hose","raw 31","raw",0.3163,NA,NA,NA,NA,NA,"none",NA,31.63
"ref","none",NA,"Open slot injection","(None)",0,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Digestate",5.9,7.9,"Open slot injection","raw 32","raw",0.1778,NA,NA,NA,NA,NA,"none",NA,17.78
"ref","none",NA,"Trailing shoe","(None)",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Digestate",5.9,7.9,"Trailing shoe","raw 33","raw",0.2667,NA,NA,NA,NA,NA,"none",NA,26.67
"ref","none",NA,"Trailing hose","(None)",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Digestate",5.9,7.9,"Trailing hose","raw 34","raw",0.3325,NA,NA,NA,NA,NA,"none",NA,33.25
"ref","none",NA,"Open slot injection","(None)",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Digestate",5.9,7.9,"Open slot injection","raw 35","raw",0.1828,NA,NA,NA,NA,NA,"none",NA,18.28
"ref","none",NA,"Trailing shoe","(None)",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Digestate",5.9,7.9,"Trailing shoe","raw 36","raw",0.2969,NA,NA,NA,NA,NA,"none",NA,29.69
"ref","none",NA,"Trailing hose","(None)",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Digestate",5.9,7.9,"Trailing hose","raw 37","raw",0.3427,NA,NA,NA,NA,NA,"none",NA,34.27
"ref","none",NA,"Open slot injection","(None)",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Digestate",5.9,7.9,"Open slot injection","raw 38","raw",0.186,NA,NA,NA,NA,NA,"none",NA,18.6
"ref","none",NA,"Trailing shoe","(None)",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Digestate",5.9,7.9,"Trailing shoe","raw 39","raw",0.3193,NA,NA,NA,NA,NA,"none",NA,31.93
"ref","none",NA,"Trailing hose","(None)",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Digestate",5.9,7.9,"Trailing hose","raw 40","raw",0.3492,NA,NA,NA,NA,NA,"none",NA,34.92
"ref","none",NA,"Open slot injection","(None)",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Digestate",5.9,7.9,"Open slot injection","raw 41","raw",0.188,NA,NA,NA,NA,NA,"none",NA,18.8
"ref","none",NA,"Trailing shoe","(None)",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Digestate",5.9,7.9,"Trailing shoe","raw 42","raw",0.3351,NA,NA,NA,NA,NA,"none",NA,33.51
"ref","none",NA,"Trailing hose","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Digestate",5.9,7.9,"Trailing hose","raw 43","raw",0.3457,NA,NA,NA,NA,NA,"none",NA,34.57
"ref","none",NA,"Open slot injection","(None)",0,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Digestate",5.9,7.9,"Open slot injection","raw 44","raw",0.1869,NA,NA,NA,NA,NA,"none",NA,18.69
"ref","none",NA,"Trailing shoe","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Digestate",5.9,7.9,"Trailing shoe","raw 45","raw",0.3264,NA,NA,NA,NA,NA,"none",NA,32.64
"sep","none",NA,"Trailing hose","Broadcast",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.88659793814433,7.1,"Trailing hose","sep 1","lf",0.1737,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,17.37
"sep","none",NA,"Open slot injection","Broadcast",0,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.88659793814433,7.1,"Open slot injection","sep 2","lf",0.1033,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,10.33
"sep","none",NA,"Trailing shoe","Broadcast",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.88659793814433,7.1,"Trailing shoe","sep 3","lf",0.1403,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,14.03
"sep incorp sf","deep",4,"Trailing hose","Broadcast",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.88659793814433,7.1,"Trailing hose","sep 4","lf",0.1737,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,17.37
"sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.88659793814433,7.1,"Open slot injection","sep 5","lf",0.1033,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,10.33
"sep incorp sf","deep",4,"Trailing shoe","Broadcast",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.88659793814433,7.1,"Trailing shoe","sep 6","lf",0.1403,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,14.03
"sep","none",NA,"Trailing hose","Broadcast",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.88659793814433,7.1,"Trailing hose","sep 7","lf",0.1867,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,18.67
"sep","none",NA,"Open slot injection","Broadcast",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.88659793814433,7.1,"Open slot injection","sep 8","lf",0.1068,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,10.68
"sep","none",NA,"Trailing shoe","Broadcast",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.88659793814433,7.1,"Trailing shoe","sep 9","lf",0.1596,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,15.96
"sep incorp sf","deep",4,"Trailing hose","Broadcast",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.88659793814433,7.1,"Trailing hose","sep 10","lf",0.1867,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,18.67
"sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.88659793814433,7.1,"Open slot injection","sep 11","lf",0.1068,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,10.68
"sep incorp sf","deep",4,"Trailing shoe","Broadcast",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.88659793814433,7.1,"Trailing shoe","sep 12","lf",0.1596,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,15.96
"sep","none",NA,"Trailing hose","Broadcast",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.88659793814433,7.1,"Trailing hose","sep 13","lf",0.1956,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,19.56
"sep","none",NA,"Open slot injection","Broadcast",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.88659793814433,7.1,"Open slot injection","sep 14","lf",0.1093,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,10.93
"sep","none",NA,"Trailing shoe","Broadcast",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.88659793814433,7.1,"Trailing shoe","sep 15","lf",0.1761,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,17.61
"sep incorp sf","deep",4,"Trailing hose","Broadcast",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.88659793814433,7.1,"Trailing hose","sep 16","lf",0.1956,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,19.56
"sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.88659793814433,7.1,"Open slot injection","sep 17","lf",0.1093,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,10.93
"sep incorp sf","deep",4,"Trailing shoe","Broadcast",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.88659793814433,7.1,"Trailing shoe","sep 18","lf",0.1761,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,17.61
"sep","none",NA,"Trailing hose","Broadcast",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.88659793814433,7.1,"Trailing hose","sep 19","lf",0.2015,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,20.15
"sep","none",NA,"Open slot injection","Broadcast",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.88659793814433,7.1,"Open slot injection","sep 20","lf",0.1109,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,11.09
"sep","none",NA,"Trailing shoe","Broadcast",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.88659793814433,7.1,"Trailing shoe","sep 21","lf",0.1889,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,18.89
"sep incorp sf","deep",4,"Trailing hose","Broadcast",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.88659793814433,7.1,"Trailing hose","sep 22","lf",0.2015,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,20.15
"sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.88659793814433,7.1,"Open slot injection","sep 23","lf",0.1109,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,11.09
"sep incorp sf","deep",4,"Trailing shoe","Broadcast",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.88659793814433,7.1,"Trailing shoe","sep 24","lf",0.1889,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,18.89
"sep","none",NA,"Trailing hose","Broadcast",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",3.88659793814433,7.1,"Trailing hose","sep 25","lf",0.1983,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,19.83
"sep","none",NA,"Open slot injection","Broadcast",0,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",3.88659793814433,7.1,"Open slot injection","sep 26","lf",0.11,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,11
"sep","none",NA,"Trailing shoe","Broadcast",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",3.88659793814433,7.1,"Trailing shoe","sep 27","lf",0.1817,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,18.17
"sep incorp sf","deep",4,"Trailing hose","Broadcast",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",3.88659793814433,7.1,"Trailing hose","sep 28","lf",0.1983,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,19.83
"sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",3.88659793814433,7.1,"Open slot injection","sep 29","lf",0.11,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,11
"sep incorp sf","deep",4,"Trailing shoe","Broadcast",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",3.88659793814433,7.1,"Trailing shoe","sep 30","lf",0.1817,"Aguirre-Villegas et al. (2019)",-40.2061855670103,0.0999999999999996,3,NA,"none",NA,18.17
"sep","none",NA,"Trailing hose","Broadcast",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.98308270676692,7.1,"Trailing hose","sep 31","lf",0.1761,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,17.61
"sep","none",NA,"Open slot injection","Broadcast",0,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.98308270676692,7.1,"Open slot injection","sep 32","lf",0.104,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,10.4
"sep","none",NA,"Trailing shoe","Broadcast",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.98308270676692,7.1,"Trailing shoe","sep 33","lf",0.1413,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,14.13
"sep incorp sf","deep",4,"Trailing hose","Broadcast",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.98308270676692,7.1,"Trailing hose","sep 34","lf",0.1761,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,17.61
"sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.98308270676692,7.1,"Open slot injection","sep 35","lf",0.104,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,10.4
"sep incorp sf","deep",4,"Trailing shoe","Broadcast",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",3.98308270676692,7.1,"Trailing shoe","sep 36","lf",0.1413,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,14.13
"sep","none",NA,"Trailing hose","Broadcast",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.98308270676692,7.1,"Trailing hose","sep 37","lf",0.1898,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,18.98
"sep","none",NA,"Open slot injection","Broadcast",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.98308270676692,7.1,"Open slot injection","sep 38","lf",0.1078,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,10.78
"sep","none",NA,"Trailing shoe","Broadcast",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.98308270676692,7.1,"Trailing shoe","sep 39","lf",0.1614,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,16.14
"sep incorp sf","deep",4,"Trailing hose","Broadcast",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.98308270676692,7.1,"Trailing hose","sep 40","lf",0.1898,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,18.98
"sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.98308270676692,7.1,"Open slot injection","sep 41","lf",0.1078,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,10.78
"sep incorp sf","deep",4,"Trailing shoe","Broadcast",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",3.98308270676692,7.1,"Trailing shoe","sep 42","lf",0.1614,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,16.14
"sep","none",NA,"Trailing hose","Broadcast",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.98308270676692,7.1,"Trailing hose","sep 43","lf",0.1992,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,19.92
"sep","none",NA,"Open slot injection","Broadcast",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.98308270676692,7.1,"Open slot injection","sep 44","lf",0.1104,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,11.04
"sep","none",NA,"Trailing shoe","Broadcast",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.98308270676692,7.1,"Trailing shoe","sep 45","lf",0.1786,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,17.86
"sep incorp sf","deep",4,"Trailing hose","Broadcast",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.98308270676692,7.1,"Trailing hose","sep 46","lf",0.1992,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,19.92
"sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.98308270676692,7.1,"Open slot injection","sep 47","lf",0.1104,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,11.04
"sep incorp sf","deep",4,"Trailing shoe","Broadcast",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",3.98308270676692,7.1,"Trailing shoe","sep 48","lf",0.1786,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,17.86
"sep","none",NA,"Trailing hose","Broadcast",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.98308270676692,7.1,"Trailing hose","sep 49","lf",0.2054,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,20.54
"sep","none",NA,"Open slot injection","Broadcast",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.98308270676692,7.1,"Open slot injection","sep 50","lf",0.1121,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,11.21
"sep","none",NA,"Trailing shoe","Broadcast",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.98308270676692,7.1,"Trailing shoe","sep 51","lf",0.1921,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,19.21
"sep incorp sf","deep",4,"Trailing hose","Broadcast",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.98308270676692,7.1,"Trailing hose","sep 52","lf",0.2054,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,20.54
"sep incorp sf","deep",4,"Open slot injection","Broadcast",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.98308270676692,7.1,"Open slot injection","sep 53","lf",0.1121,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,11.21
"sep incorp sf","deep",4,"Trailing shoe","Broadcast",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",3.98308270676692,7.1,"Trailing shoe","sep 54","lf",0.1921,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,19.21
"sep","none",NA,"Trailing hose","Broadcast",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",3.98308270676692,7.1,"Trailing hose","sep 55","lf",0.202,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,20.2
"sep","none",NA,"Open slot injection","Broadcast",0,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",3.98308270676692,7.1,"Open slot injection","sep 56","lf",0.1112,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,11.12
"sep","none",NA,"Trailing shoe","Broadcast",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Cattle",3.98308270676692,7.1,"Trailing shoe","sep 57","lf",0.1845,"Højgaards (2009)",-38.7218045112782,0.0999999999999996,30,NA,"none",NA,18.45
