"app.timing","man.source","scenario","app.mthd.rl","app.mthd.sf","incorp.sf","EFp.overall.p.mean","stor.frac.EF.p.mean","EFp.overall.mean","stor.frac.EF.mean","EFp.overall.min","stor.frac.EF.min","EFp.overall.max","stor.frac.EF.max","EFp.overall.sd","stor.frac.EF.sd","EFp.overall.n","stor.frac.EF.n","EFp.overall.b.mean","EFp.overall.b.se","EFp.overall.b.qs.2.5","EFp.overall.b.qs.97.5","stor.frac.EF.b.mean","stor.frac.EF.b.se","stor.frac.EF.b.qs.2.5","stor.frac.EF.b.qs.97.5","EFp.overall.b.mean","EFp.overall.b.se","EFp.overall.b.qs.5","EFp.overall.b.qs.95","EFp.overall.se","EFp.overall.p.qs.5","EFp.overall.p.qs.95","sep","EF.type"
"April","Pig","sep incorp sf","Trailing hose","Broadcast","deep",14.31633,20.729692,14.31633,20.729692,13.40669,14.506192,15.46311,34.809124,0.5734572,6.0342410,24,24,14.32121347, 0.10011197,14.14488452,14.49937481,21.0083222, 1.3319842,18.8730841,23.8943508,14.32121, 0.10011197,14.14488,14.49937,0.11705645,14.07418,14.55848,TRUE,"Separation w/ SF incorporation"
"Autumn","Pig","sep incorp sf","Trailing hose","Broadcast","deep",15.00786,19.698956,15.00786,19.698956,13.87452,14.060466,16.40091,31.952381,0.7367151,5.3432859,24,24,14.97937244, 0.14830149,14.73606950,15.26359793,19.6854695, 0.9753934,18.1923932,21.9834233,14.97937, 0.14830149,14.73607,15.26360,0.15038134,14.69677,15.31894,TRUE,"Separation w/ SF incorporation"
"March","Pig","sep incorp sf","Trailing hose","Broadcast","deep",13.93101,21.319563,13.93101,21.319563,13.14377,14.851731,14.96255,36.133181,0.5064792,6.3025622,24,24,13.92460269, 0.08992523,13.76753305,14.06843004,21.2984577, 1.1818494,19.4398091,23.7834692,13.92460, 0.08992523,13.76753,14.06843,0.10338463,13.71714,14.14487,TRUE,"Separation w/ SF incorporation"
"May","Pig","sep incorp sf","Trailing hose","Broadcast","deep",14.75327,20.070872,14.75327,20.070872,13.69996,14.208953,15.91175,33.037905,0.6647734,5.6134514,24,24,14.74249698, 0.13956104,14.48387422,14.99572829,20.0643592, 1.2470307,17.6543384,22.2939598,14.74250, 0.13956104,14.48387,14.99573,0.13569630,14.47256,15.03398,TRUE,"Separation w/ SF incorporation"
"Summer","Pig","sep incorp sf","Trailing hose","Broadcast","deep",15.38928,19.167723,15.38928,19.167723,14.13029,13.850439,17.22513,30.423455,0.8646584,4.9574342,24,24,15.38650077, 0.14848910,15.12962636,15.66454463,19.1021681, 0.8983509,17.4031417,20.7457885,15.38650, 0.14848910,15.12963,15.66454,0.17649767,15.02416,15.75439,TRUE,"Separation w/ SF incorporation"
"April","Cattle","sep incorp sf","Trailing shoe","Broadcast","deep",17.11394,11.772932,17.11394,11.772932,15.02126, 8.373390,20.67611,15.986856,1.4710857,1.7637085,27,27,17.11274878, 0.27652125,16.58008091,17.63870085,11.7794398, 0.3376096,11.1155531,12.3349002,17.11275, 0.27652125,16.58008,17.63870,0.28311058,16.53200,17.69588,TRUE,"Separation w/ SF incorporation"
"Autumn","Cattle","sep incorp sf","Trailing shoe","Broadcast","deep",19.61709,10.289932,19.61709,10.289932,17.10345, 7.661127,24.71321,13.956643,1.9726812,1.5835501,27,27,19.57812283, 0.32674190,18.97955647,20.17739852,10.3294772, 0.3537767, 9.5817068,10.9277288,19.57812, 0.32674190,18.97956,20.17740,0.37964268,18.83672,20.39745,TRUE,"Separation w/ SF incorporation"
"March","Cattle","sep incorp sf","Trailing shoe","Broadcast","deep",15.18420,13.257957,15.18420,13.257957,13.46861, 9.199084,18.82026,17.738313,1.2446181,1.9265900,27,27,15.18334921, 0.21750792,14.79402366,15.64104990,13.3238496, 0.3737188,12.5921410,14.0125390,15.18335, 0.21750792,14.79402,15.64105,0.23952686,14.69185,15.67656,TRUE,"Separation w/ SF incorporation"
"May","Cattle","sep incorp sf","Trailing shoe","Broadcast","deep",18.90950,10.670642,18.90950,10.670642,16.51174, 7.825681,23.30556,14.543762,1.8181689,1.6436523,27,27,18.87473712, 0.36289663,18.26927574,19.61646366,10.6901439, 0.3182015,10.0642545,11.2543185,18.87474, 0.36289663,18.26928,19.61646,0.34990678,18.19026,19.62875,TRUE,"Separation w/ SF incorporation"
"Summer","Cattle","sep incorp sf","Trailing shoe","Broadcast","deep",20.57802, 9.815544,20.57802, 9.815544,17.72845, 7.343465,26.64898,13.192116,2.2076743,1.5058736,27,27,20.57266891, 0.39182041,19.82277477,21.33499884, 9.8308377, 0.2977199, 9.3870043,10.4298824,20.57267, 0.39182041,19.82277,21.33500,0.42486712,19.70470,21.45135,TRUE,"Separation w/ SF incorporation"
"April","Digestate","sep incorp sf","Trailing shoe","Broadcast","deep",25.81943,13.853097,25.81943,13.853097,21.36952, 8.620973,31.31876,23.885111,2.2455230,3.2010686,33,33,25.81353511, 0.40607174,25.08050231,26.55936030,13.7852989, 0.5710683,12.7552523,15.0886689,25.81354, 0.40607174,25.08050,26.55936,0.39089538,25.02321,26.61566,TRUE,"Separation w/ SF incorporation"
"Autumn","Digestate","sep incorp sf","Trailing shoe","Broadcast","deep",27.45354,13.001629,27.45354,13.001629,22.45564, 8.046779,33.65754,20.857780,2.7473683,2.7584671,33,33,27.47927959, 0.43642587,26.57733006,28.26249677,13.0239649, 0.4057886,12.2326184,13.7665474,27.47928, 0.43642587,26.57733,28.26250,0.47825544,26.47937,28.42772,TRUE,"Separation w/ SF incorporation"
"March","Digestate","sep incorp sf","Trailing shoe","Broadcast","deep",24.51198,14.586279,24.51198,14.586279,20.71552, 9.326770,28.94873,25.935565,1.8256080,3.4387997,33,33,24.47853449, 0.31988632,23.88252196,25.08504628,14.6409974, 0.5863836,13.5139585,15.7689625,24.47853, 0.31988632,23.88252,25.08505,0.31779756,23.86464,25.15931,TRUE,"Separation w/ SF incorporation"
"May","Digestate","sep incorp sf","Trailing shoe","Broadcast","deep",26.95669,13.254951,26.95669,13.254951,22.07613, 8.176843,33.01986,21.852283,2.5956339,2.9168754,33,33,26.98356214, 0.48100352,26.15066013,27.94345226,13.2611973, 0.4779788,12.3857185,14.1999393,26.98356, 0.48100352,26.15066,27.94345,0.45184187,26.03632,27.87706,TRUE,"Separation w/ SF incorporation"
"Summer","Digestate","sep incorp sf","Trailing shoe","Broadcast","deep",28.11064,12.681670,28.11064,12.681670,22.98787, 7.893202,34.66779,19.624877,2.9712963,2.5577996,33,33,28.18128961, 0.52049833,27.28767793,29.10830132,12.6687898, 0.4010571,11.8752417,13.3921357,28.18129, 0.52049833,27.28768,29.10830,0.51723630,27.05707,29.16422,TRUE,"Separation w/ SF incorporation"
"April","Pig","sep incorp sf","Trailing shoe","Broadcast","deep",13.87694,21.335534,13.87694,21.335534,13.08681,15.064885,14.80658,35.392927,0.5210281,6.0073166,24,24,13.88479931, 0.10765308,13.69647238,14.08922257,21.3232022, 1.1272405,19.4151300,23.7869818,13.88480, 0.10765308,13.69647,14.08922,0.10635441,13.65693,14.09696,TRUE,"Separation w/ SF incorporation"
"Autumn","Pig","sep incorp sf","Trailing shoe","Broadcast","deep",14.77854,19.981231,14.77854,19.981231,13.71000,14.326542,16.27674,32.196125,0.7247996,5.3176168,24,24,14.78242099, 0.15254548,14.55294869,15.08924260,20.0485166, 1.1778736,18.2066470,22.3055604,14.78242, 0.15254548,14.55295,15.08924,0.14794909,14.47248,15.08459,TRUE,"Separation w/ SF incorporation"
"March","Pig","sep incorp sf","Trailing shoe","Broadcast","deep",13.29610,22.264635,13.29610,22.264635,12.58062,15.717037,14.13074,37.085670,0.4440349,6.2848949,24,24,13.30226385, 0.08953546,13.12579249,13.46853225,22.3018215, 1.3027525,20.1055654,24.7337968,13.30226, 0.08953546,13.12579,13.46853,0.09063825,13.10860,13.48360,TRUE,"Separation w/ SF incorporation"
"May","Pig","sep incorp sf","Trailing shoe","Broadcast","deep",14.47072,20.432728,14.47072,20.432728,13.49889,14.543547,15.70865,33.360488,0.6413934,5.5882782,24,24,14.46160714, 0.11138485,14.23873295,14.66491933,20.6635887, 1.0423263,18.7462048,22.8887544,14.46161, 0.11138485,14.23873,14.66492,0.13092388,14.19988,14.74156,TRUE,"Separation w/ SF incorporation"
"Summer","Pig","sep incorp sf","Trailing shoe","Broadcast","deep",15.22256,19.362166,15.22256,19.362166,14.01147,14.041026,17.13019,30.592086,0.8627284,4.9357041,24,24,15.19083783, 0.18628016,14.82145091,15.51905690,19.3724128, 1.0747564,17.7134723,21.5619925,15.19084, 0.18628016,14.82145,15.51906,0.17610370,14.85827,15.58686,TRUE,"Separation w/ SF incorporation"
"April","Cattle","ref","Open slot injection","(None)","none",14.94101,11.378080,14.94101,11.378080,14.94101,11.378080,14.94101,11.378080,NA,NA, 1, 1, 7.78000000, 4.25353092, 1.00000000,14.00000000, 5.6800000, 3.2656152, 1.0000000,11.0000000, 7.78000, 4.25353092, 1.00000,14.00000,NA,NA,NA,FALSE,"Reference"
"Autumn","Cattle","ref","Open slot injection","(None)","none",16.48432,10.312831,16.48432,10.312831,16.48432,10.312831,16.48432,10.312831,NA,NA, 1, 1, 8.23000000, 4.80289265, 1.00000000,16.00000000, 5.5800000, 2.8821288, 1.0000000,10.0000000, 8.23000, 4.80289265, 1.00000,16.00000,NA,NA,NA,FALSE,"Reference"
"March","Cattle","ref","Open slot injection","(None)","none",13.56481,12.532428,13.56481,12.532428,13.56481,12.532428,13.56481,12.532428,NA,NA, 1, 1, 6.70000000, 4.00378609, 1.00000000,13.00000000, 6.1900000, 3.3685863, 1.0000000,11.5250000, 6.70000, 4.00378609, 1.00000,13.00000,NA,NA,NA,FALSE,"Reference"
"May","Cattle","ref","Open slot injection","(None)","none",16.09112,10.564833,16.09112,10.564833,16.09112,10.564833,16.09112,10.564833,NA,NA, 1, 1, 8.76000000, 4.57953286, 1.00000000,16.00000000, 5.3000000, 2.8337789, 1.0000000,10.0000000, 8.76000, 4.57953286, 1.00000,16.00000,NA,NA,NA,FALSE,"Reference"
"Summer","Cattle","ref","Open slot injection","(None)","none",16.97582,10.014244,16.97582,10.014244,16.97582,10.014244,16.97582,10.014244,NA,NA, 1, 1, 8.94000000, 4.50099877, 1.47500000,16.00000000, 5.5000000, 2.9180733, 1.0000000,10.0000000, 8.94000, 4.50099877, 1.47500,16.00000,NA,NA,NA,FALSE,"Reference"
"April","Digestate","ref","Open slot injection","(None)","none",20.40472,12.742150,20.40472,12.742150,20.40472,12.742150,20.40472,12.742150,NA,NA, 1, 1,10.15000000, 5.93121344, 1.00000000,20.00000000, 6.2500000, 3.3825906, 1.0000000,12.0000000,10.15000, 5.93121344, 1.00000,20.00000,NA,NA,NA,FALSE,"Reference"
"Autumn","Digestate","ref","Open slot injection","(None)","none",20.80406,12.497561,20.80406,12.497561,20.80406,12.497561,20.80406,12.497561,NA,NA, 1, 1,10.20000000, 5.90154919, 1.00000000,20.00000000, 6.5300000, 3.2612045, 1.0000000,12.0000000,10.20000, 5.90154919, 1.00000,20.00000,NA,NA,NA,FALSE,"Reference"
"March","Digestate","ref","Open slot injection","(None)","none",19.91772,13.053703,19.91772,13.053703,19.91772,13.053703,19.91772,13.053703,NA,NA, 1, 1,10.11000000, 5.65488079, 1.00000000,19.00000000, 7.1200000, 3.8225276, 1.4750000,13.0000000,10.11000, 5.65488079, 1.00000,19.00000,NA,NA,NA,FALSE,"Reference"
"May","Digestate","ref","Open slot injection","(None)","none",20.71640,12.550443,20.71640,12.550443,20.71640,12.550443,20.71640,12.550443,NA,NA, 1, 1,10.35000000, 5.80730122, 1.00000000,20.00000000, 6.1600000, 3.4369354, 1.0000000,12.0000000,10.35000, 5.80730122, 1.00000,20.00000,NA,NA,NA,FALSE,"Reference"
"Summer","Digestate","ref","Open slot injection","(None)","none",20.91120,12.433528,20.91120,12.433528,20.91120,12.433528,20.91120,12.433528,NA,NA, 1, 1,11.29000000, 5.36033883, 1.00000000,19.52500000, 6.6400000, 3.4038600, 1.0000000,12.0000000,11.29000, 5.36033883, 1.00000,19.52500,NA,NA,NA,FALSE,"Reference"
"April","Pig","ref","Open slot injection","(None)","none",10.99234,11.826417,10.99234,11.826417,10.99234,11.826417,10.99234,11.826417,NA,NA, 1, 1, 5.31000000, 2.71804668, 1.00000000,10.00000000, 5.7400000, 3.0405342, 1.0000000,11.0000000, 5.31000, 2.71804668, 1.00000,10.00000,NA,NA,NA,FALSE,"Reference"
"Autumn","Pig","ref","Open slot injection","(None)","none",11.15026,11.658921,11.15026,11.658921,11.15026,11.658921,11.15026,11.658921,NA,NA, 1, 1, 5.71000000, 3.34330327, 1.00000000,11.00000000, 6.1200000, 3.2075668, 1.0000000,11.0000000, 5.71000, 3.34330327, 1.00000,11.00000,NA,NA,NA,FALSE,"Reference"
"March","Pig","ref","Open slot injection","(None)","none",10.81073,12.025088,10.81073,12.025088,10.81073,12.025088,10.81073,12.025088,NA,NA, 1, 1, 5.06000000, 2.79545085, 1.00000000,10.00000000, 5.8000000, 3.4082491, 1.0000000,12.0000000, 5.06000, 2.79545085, 1.00000,10.00000,NA,NA,NA,FALSE,"Reference"
"May","Pig","ref","Open slot injection","(None)","none",11.11374,11.697231,11.11374,11.697231,11.11374,11.697231,11.11374,11.697231,NA,NA, 1, 1, 5.68000000, 3.12332379, 1.00000000,11.00000000, 6.2200000, 3.1768735, 1.0000000,11.0000000, 5.68000, 3.12332379, 1.00000,11.00000,NA,NA,NA,FALSE,"Reference"
"Summer","Pig","ref","Open slot injection","(None)","none",11.18974,11.617786,11.18974,11.617786,11.18974,11.617786,11.18974,11.617786,NA,NA, 1, 1, 5.73000000, 3.09726174, 1.00000000,11.00000000, 5.4700000, 3.2828141, 1.0000000,11.0000000, 5.73000, 3.09726174, 1.00000,11.00000,NA,NA,NA,FALSE,"Reference"
"April","Cattle","ref","Trailing hose","(None)","none",27.69052, 6.139285,27.69052, 6.139285,27.69052, 6.139285,27.69052, 6.139285,NA,NA, 1, 1,13.29000000, 7.33511686, 1.47500000,26.52500000, 3.4900000, 1.6787140, 1.0000000, 6.0000000,13.29000, 7.33511686, 1.47500,26.52500,NA,NA,NA,FALSE,"Reference"
"Autumn","Cattle","ref","Trailing hose","(None)","none",32.45807, 5.237526,32.45807, 5.237526,32.45807, 5.237526,32.45807, 5.237526,NA,NA, 1, 1,16.55000000, 9.50000000, 2.00000000,32.00000000, 3.2100000, 1.4234330, 1.0000000, 5.0000000,16.55000, 9.50000000, 2.00000,32.00000,NA,NA,NA,FALSE,"Reference"
"March","Cattle","ref","Trailing hose","(None)","none",23.45379, 7.248295,23.45379, 7.248295,23.45379, 7.248295,23.45379, 7.248295,NA,NA, 1, 1,11.89000000, 6.81634251, 1.00000000,22.52500000, 4.1600000, 1.9833652, 1.0000000, 7.0000000,11.89000, 6.81634251, 1.00000,22.52500,NA,NA,NA,FALSE,"Reference"
"May","Cattle","ref","Trailing hose","(None)","none",31.25881, 5.438467,31.25881, 5.438467,31.25881, 5.438467,31.25881, 5.438467,NA,NA, 1, 1,14.79000000, 8.75398322, 1.00000000,30.00000000, 3.0600000, 1.2934958, 1.0000000, 5.0000000,14.79000, 8.75398322, 1.00000,30.00000,NA,NA,NA,FALSE,"Reference"
"Summer","Cattle","ref","Trailing hose","(None)","none",33.99155, 5.001243,33.99155, 5.001243,33.99155, 5.001243,33.99155, 5.001243,NA,NA, 1, 1,16.32000000, 8.80642557, 1.47500000,32.52500000, 3.0500000, 1.4025590, 1.0000000, 5.0000000,16.32000, 8.80642557, 1.47500,32.52500,NA,NA,NA,FALSE,"Reference"
"April","Digestate","ref","Trailing hose","(None)","none",34.98550, 7.431650,34.98550, 7.431650,34.98550, 7.431650,34.98550, 7.431650,NA,NA, 1, 1,17.81000000, 8.98898877, 2.47500000,33.00000000, 3.7100000, 1.9399833, 1.0000000, 7.0000000,17.81000, 8.98898877, 2.47500,33.00000,NA,NA,NA,FALSE,"Reference"
"Autumn","Digestate","ref","Trailing hose","(None)","none",36.27118, 7.168226,36.27118, 7.168226,36.27118, 7.168226,36.27118, 7.168226,NA,NA, 1, 1,18.04000000, 9.88307399, 3.00000000,35.00000000, 3.9700000, 2.0173740, 1.0000000, 7.0000000,18.04000, 9.88307399, 3.00000,35.00000,NA,NA,NA,FALSE,"Reference"
"March","Digestate","ref","Trailing hose","(None)","none",33.40762, 7.782656,33.40762, 7.782656,33.40762, 7.782656,33.40762, 7.782656,NA,NA, 1, 1,16.74000000, 9.03150490, 2.00000000,32.00000000, 3.7700000, 1.9167260, 1.0000000, 7.0000000,16.74000, 9.03150490, 2.00000,32.00000,NA,NA,NA,FALSE,"Reference"
"May","Digestate","ref","Trailing hose","(None)","none",35.97898, 7.226442,35.97898, 7.226442,35.97898, 7.226442,35.97898, 7.226442,NA,NA, 1, 1,18.50000000,10.39084679, 1.47500000,34.52500000, 4.1400000, 2.0986768, 1.0000000, 7.0000000,18.50000,10.39084679, 1.47500,34.52500,NA,NA,NA,FALSE,"Reference"
