"man.source","scenario","incorp.sf","t.incorp.sf","app.mthd.rl","app.mthd.sf","app.rate.ni","app.timing","air.temp","wind.2m","rain.rate","ct","tan.app","man.dm","man.ph","app.mthd","id","stype","EF.field.raw","EF.stor.raw","EF.stor.lf","EF.stor.sf","N.loss.stor.sf","EF.overall","stor.frac.EF","man.dm.lf","man.ph.lf","EF.field.lf","man.dm.sf","man.ph.sf","source","rdDM.lf","dpH.lf","TAN.sep.eff.sf","id.sep","incorp","t.incorp","EF.field.sf","EFp.overall","sep","EF.type"
"Digestate","ref","none",NA,"Trailing hose","(None)",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,5.9,7.9,"Trailing hose","raw 37","raw",0.3427,0.026,0.026,0.168831168831169,0.363636363636364,0.3597898,7.22644166121441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.97898,FALSE,"Reference"
"Digestate","ref","none",NA,"Open slot injection","(None)",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,5.9,7.9,"Open slot injection","raw 38","raw",0.186,0.026,0.026,0.168831168831169,0.363636363636364,0.207164,12.5504431271843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7164,FALSE,"Reference"
"Digestate","ref","none",NA,"Trailing shoe","(None)",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,5.9,7.9,"Trailing shoe","raw 39","raw",0.3193,0.026,0.026,0.168831168831169,0.363636363636364,0.3369982,7.71517473980573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.69982,FALSE,"Reference"
"Digestate","ref","none",NA,"Trailing hose","(None)",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,5.9,7.9,"Trailing hose","raw 40","raw",0.3492,0.026,0.026,0.168831168831169,0.363636363636364,0.3661208,7.10148125973722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.61208,FALSE,"Reference"
"Digestate","ref","none",NA,"Open slot injection","(None)",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,5.9,7.9,"Open slot injection","raw 41","raw",0.188,0.026,0.026,0.168831168831169,0.363636363636364,0.209112,12.4335284440874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9112,FALSE,"Reference"
"Digestate","ref","none",NA,"Trailing shoe","(None)",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,5.9,7.9,"Trailing shoe","raw 42","raw",0.3351,0.026,0.026,0.168831168831169,0.363636363636364,0.3523874,7.37824337646579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.23874,FALSE,"Reference"
"Digestate","ref","none",NA,"Trailing hose","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,5.9,7.9,"Trailing hose","raw 43","raw",0.3457,0.026,0.026,0.168831168831169,0.363636363636364,0.3627118,7.1682255719279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.27118,FALSE,"Reference"
"Digestate","ref","none",NA,"Open slot injection","(None)",0,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,5.9,7.9,"Open slot injection","raw 44","raw",0.1869,0.026,0.026,0.168831168831169,0.363636363636364,0.2080406,12.4975605723114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.80406,FALSE,"Reference"
"Digestate","ref","none",NA,"Trailing shoe","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,5.9,7.9,"Trailing shoe","raw 45","raw",0.3264,0.026,0.026,0.168831168831169,0.363636363636364,0.3439136,7.56003833520977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.39136,FALSE,"Reference"
"Pig","ref","none",NA,"Trailing hose","(None)",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,3.9,7.2,"Trailing hose","raw 1","raw",0.1404,0.013,0.013,0.164556962025316,0.354430379746835,0.1515748,8.57662355483893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.15748,FALSE,"Reference"
