"app.timing","man.source","stype","scenario","app.mthd","incorp","EFp.field.p.mean","EFp.field.mean","EFp.field.min","EFp.field.max","EFp.field.sd","EFp.field.n","EFp.field.se","EFp.field.p.qs.5","EFp.field.p.qs.95","sep","EF.type"
"March","Digestate","lf","sep","Open slot injection","none",15.5715151515152,15.5715151515152,13.95,17.87,0.879854821874471,33,0.153163064973226,15.2595321974846,15.8834981055457,TRUE,"LF"
"May","Digestate","lf","sep","Open slot injection","none",15.7984848484848,15.7984848484848,14.01,18.45,0.989883582839799,33,0.17231661376978,15.447487392265,16.1494823047046,TRUE,"LF"
"Summer","Digestate","lf","sep","Open slot injection","none",15.850303030303,15.850303030303,14.03,18.59,1.01694851408664,33,0.177028013559833,15.4897087667565,16.2108972938496,TRUE,"LF"
"April","Pig","lf","sep","Open slot injection","none",9.44883333333333,9.44883333333333,9.082,10.12,0.23404304075861,24,0.0477738356423333,9.35000562465291,9.54766104201375,TRUE,"LF"
"Autumn","Pig","lf","sep","Open slot injection","none",9.49375,9.49375,9.139,10.18,0.246868958374064,24,0.0503919151124032,9.38950638129914,9.59799361870086,TRUE,"LF"
"March","Pig","lf","sep","Open slot injection","none",9.39325,9.39325,9.011,10.06,0.221278940627474,24,0.0451683746134105,9.29981209810571,9.48668790189429,TRUE,"LF"
"May","Pig","lf","sep","Open slot injection","none",9.48395833333333,9.48395833333333,9.126,10.17,0.24438075765114,24,0.0498840132666707,9.38076538965099,9.58715127701568,TRUE,"LF"
"Summer","Pig","lf","sep","Open slot injection","none",9.50516666666667,9.50516666666667,9.154,10.19,0.249660581183938,24,0.0509617527322785,9.39974424903675,9.61058908429659,TRUE,"LF"
"April","Cattle","lf","sep incorp sf","Open slot injection","none",10.9657407407407,10.9657407407407,9.919,13.12,0.885614241103645,27,0.170436540166452,10.6154034150082,11.3160780664733,TRUE,"LF"
"Autumn","Cattle","lf","sep incorp sf","Open slot injection","none",11.3259259259259,11.3259259259259,10.1,14.13,1.0182611847929,27,0.195964456381843,10.9231152169054,11.7287366349465,TRUE,"LF"
"March","Cattle","lf","sep incorp sf","Open slot injection","none",10.5745185185185,10.5745185185185,9.63,12.31,0.783154733231139,27,0.150718198682709,10.264712824187,10.8843242128501,TRUE,"LF"
"May","Cattle","lf","sep incorp sf","Open slot injection","none",11.2414814814815,11.2414814814815,10.06,13.89,0.984751837945064,27,0.189515579574187,10.8519266285853,11.6310363343777,TRUE,"LF"
"Summer","Cattle","lf","sep incorp sf","Open slot injection","none",11.4266666666667,11.4266666666667,10.15,14.44,1.06446447351925,27,0.204856283443044,11.0055785453585,11.8477547879748,TRUE,"LF"
"April","Digestate","lf","sep incorp sf","Open slot injection","none",15.7130303030303,15.7130303030303,13.99,18.23,0.948273051553734,33,0.165073150020431,15.3767872996437,16.0492733064169,TRUE,"LF"
"Autumn","Digestate","lf","sep incorp sf","Open slot injection","none",15.8215151515152,15.8215151515152,14.02,18.52,1.00294292338884,33,0.174589953160885,15.4658870544886,16.1771432485417,TRUE,"LF"
"March","Digestate","lf","sep incorp sf","Open slot injection","none",15.5715151515152,15.5715151515152,13.95,17.87,0.879854821874471,33,0.153163064973226,15.2595321974846,15.8834981055457,TRUE,"LF"
"May","Digestate","lf","sep incorp sf","Open slot injection","none",15.7984848484848,15.7984848484848,14.01,18.45,0.989883582839799,33,0.17231661376978,15.447487392265,16.1494823047046,TRUE,"LF"
"Summer","Digestate","lf","sep incorp sf","Open slot injection","none",15.850303030303,15.850303030303,14.03,18.59,1.01694851408664,33,0.177028013559833,15.4897087667565,16.2108972938496,TRUE,"LF"
"April","Pig","lf","sep incorp sf","Open slot injection","none",9.44883333333333,9.44883333333333,9.082,10.12,0.23404304075861,24,0.0477738356423333,9.35000562465291,9.54766104201375,TRUE,"LF"
"Autumn","Pig","lf","sep incorp sf","Open slot injection","none",9.49375,9.49375,9.139,10.18,0.246868958374064,24,0.0503919151124032,9.38950638129914,9.59799361870086,TRUE,"LF"
"March","Pig","lf","sep incorp sf","Open slot injection","none",9.39325,9.39325,9.011,10.06,0.221278940627474,24,0.0451683746134105,9.29981209810571,9.48668790189429,TRUE,"LF"
"May","Pig","lf","sep incorp sf","Open slot injection","none",9.48395833333333,9.48395833333333,9.126,10.17,0.24438075765114,24,0.0498840132666707,9.38076538965099,9.58715127701568,TRUE,"LF"
"Summer","Pig","lf","sep incorp sf","Open slot injection","none",9.50516666666667,9.50516666666667,9.154,10.19,0.249660581183938,24,0.0509617527322785,9.39974424903675,9.61058908429659,TRUE,"LF"
"April","Cattle","raw","ref","Trailing hose","none",26.44,26.44,26.44,26.44,NA,1,NA,NA,NA,FALSE,"Raw"
"Autumn","Cattle","raw","ref","Trailing hose","none",31.29,31.29,31.29,31.29,NA,1,NA,NA,NA,FALSE,"Raw"
"March","Cattle","raw","ref","Trailing hose","none",22.13,22.13,22.13,22.13,NA,1,NA,NA,NA,FALSE,"Raw"
"May","Cattle","raw","ref","Trailing hose","none",30.07,30.07,30.07,30.07,NA,1,NA,NA,NA,FALSE,"Raw"
"Summer","Cattle","raw","ref","Trailing hose","none",32.85,32.85,32.85,32.85,NA,1,NA,NA,NA,FALSE,"Raw"
"April","Digestate","raw","ref","Trailing hose","none",33.25,33.25,33.25,33.25,NA,1,NA,NA,NA,FALSE,"Raw"
"Autumn","Digestate","raw","ref","Trailing hose","none",34.57,34.57,34.57,34.57,NA,1,NA,NA,NA,FALSE,"Raw"
"March","Digestate","raw","ref","Trailing hose","none",31.63,31.63,31.63,31.63,NA,1,NA,NA,NA,FALSE,"Raw"
"May","Digestate","raw","ref","Trailing hose","none",34.27,34.27,34.27,34.27,NA,1,NA,NA,NA,FALSE,"Raw"
"Summer","Digestate","raw","ref","Trailing hose","none",34.92,34.92,34.92,34.92,NA,1,NA,NA,NA,FALSE,"Raw"
"April","Pig","raw","ref","Trailing hose","none",14.75,14.75,14.75,14.75,NA,1,NA,NA,NA,FALSE,"Raw"
"Autumn","Pig","raw","ref","Trailing hose","none",15.36,15.36,15.36,15.36,NA,1,NA,NA,NA,FALSE,"Raw"
"March","Pig","raw","ref","Trailing hose","none",14.04,14.04,14.04,14.04,NA,1,NA,NA,NA,FALSE,"Raw"
"May","Pig","raw","ref","Trailing hose","none",15.22,15.22,15.22,15.22,NA,1,NA,NA,NA,FALSE,"Raw"
"Summer","Pig","raw","ref","Trailing hose","none",15.52,15.52,15.52,15.52,NA,1,NA,NA,NA,FALSE,"Raw"
"April","Cattle","lf","sep","Trailing hose","none",19.1807407407407,19.1807407407407,16.15,25.48,2.32476785594725,27,0.447401782478178,18.2610932059556,20.1003882755259,TRUE,"LF"
"Autumn","Cattle","lf","sep","Trailing hose","none",20.4596296296296,20.4596296296296,16.84,28.78,2.89709201877368,27,0.5575456189687,19.3135781964531,21.6056810628062,TRUE,"LF"
"March","Cattle","lf","sep","Trailing hose","none",17.787037037037,17.787037037037,15.34,22.25,1.84573482305477,27,0.355211832314447,17.0568886587604,18.5171854153137,TRUE,"LF"
"May","Cattle","lf","sep","Trailing hose","none",20.16,20.16,16.68,27.98,2.75135071723522,27,0.529497692410275,19.0716019055572,21.2483980944428,TRUE,"LF"
"Summer","Cattle","lf","sep","Trailing hose","none",20.8196296296296,20.8196296296296,17.02,29.77,3.08107184332072,27,0.592952552711264,19.6007982018132,22.0384610574461,TRUE,"LF"
"April","Digestate","lf","sep","Trailing hose","none",24.7454545454545,24.7454545454545,18.97,32.17,2.93668083355713,33,0.511210515795651,23.7041528003029,25.7867562906061,TRUE,"LF"
