"farm","subdat","weeksets","mean_error","sd","mean_estimate","sd_estimate","min_estimate","max_estimate","true_emis"
"section6",1,"6,4,8,3,7,10",5.59593027976816,6.14674347606591,30.056414011301,1.74958510473294,26.6200329231233,32.5042302325678,28.4636102278458
"section6",1,"9,4,8,3,7,10",7.90493598959425,6.22482741957281,30.7136403966846,1.77181061406328,26.6956163104537,33.1471893129185,28.4636102278458
"section6",1,"9,4,8,3,7,6",5.53279934522162,4.79668939614885,30.0384446681585,1.36531097356022,26.9023422762817,31.6921743179638,28.4636102278458
"section6",2,"1,9,4,8,3,7,2,10",-3.65798280870671,4.69447482745348,27.38005154908,1.3341527042798,25.2940622161743,29.769474035642,28.4196369842612
"section6",2,"2,4,8,3,7,10",-4.17380610379943,6.70328626621891,27.2334564411344,1.90504962287525,23.6163553863242,30.3496539307159,28.4196369842612
"section6",2,"5,9,4,8,3,7,2,10",-2.30615640248153,5.11111013671586,27.7642357063866,1.45255894672042,25.3687510906669,30.3267415068854,28.4196369842612
"section6",2,"6,4,8,3,7,10",4.71006164049801,6.67767854232256,29.7582194042256,1.89777200070397,26.7315645854088,32.8256687614544,28.4196369842612
"section6",2,"9,4,8,3,7,10",6.97966442196068,6.2623981472777,30.403232275702,1.77975081996542,27.1338252743645,32.7066030995086,28.4196369842612
"section6",2,"9,4,8,3,7,6",5.92916424146032,5.24816146672076,30.1046839378848,1.49150843718992,27.3405512401925,32.3250323311508,28.4196369842612
"section6",3,"1,9,4,8,3,7,2,10",-4.12997820187428,14.1218898567581,31.9249439524251,4.70262271483219,24.3066912673379,36.0552661760921,33.3002364593696
"section6",3,"2,4,8,3,7,10",-10.1524115173331,23.2263726383868,29.9194594177694,7.73443700951714,17.1388461671106,36.0552661760921,33.3002364593696
"section6",3,"5,9,4,8,3,7,2,10",-3.34217124008855,14.2605660882158,32.1872855335431,4.74880222782053,24.3066912673379,36.0552661760921,33.3002364593696
"section6",3,"6,4,8,3,7,10",1.54123367226456,5.55833016418702,33.8134709166252,1.85093708786675,31.4745363675652,36.0552661760921,33.3002364593696
"section6",3,"9,4,8,3,7,10",12.4648328104906,18.1445968685724,37.4510552595281,6.04219366183399,31.4745363675652,47.2652295341452,33.3002364593696
"section6",3,"9,4,8,3,7,6",13.3960242424806,17.2355071701039,37.7611442082702,5.7394646426162,32.7148921625335,47.2652295341452,33.3002364593696
