"meas_part_dat","meas_full_dat","batch_arrangement","farm","subdat","weeksets","error"
36.0552661760921,33.3002364593696,2,"section6",3,"1,9,4,8,3,7,2,10",8.27330376492641
26.5114881281504,28.4636102278458,3,"section6",1,"1,9,4,8,3,7,2,10",-6.85830814878714
25.2940622161743,28.4196369842612,3,"section6",2,"1,9,4,8,3,7,2,10",-10.9979405078882
35.0091889603098,33.3002364593696,3,"section6",3,"1,9,4,8,3,7,2,10",5.13195305092
26.5114881281504,28.4636102278458,4,"section6",1,"1,9,4,8,3,7,2,10",-6.85830814878714
27.3903145172127,28.4196369842612,4,"section6",2,"1,9,4,8,3,7,2,10",-3.62187056653281
32.3286294059605,33.3002364593696,4,"section6",3,"1,9,4,8,3,7,2,10",-2.91771818075407
27.432844079734,28.4636102278458,5,"section6",1,"1,9,4,8,3,7,2,10",-3.62134718632215
28.4372170958052,28.4196369842612,5,"section6",2,"1,9,4,8,3,7,2,10",0.0618590292119858
32.3286294059605,33.3002364593696,5,"section6",3,"1,9,4,8,3,7,2,10",-2.91771818075407
27.432844079734,28.4636102278458,6,"section6",1,"1,9,4,8,3,7,2,10",-3.62134718632215
26.0415001803327,28.4196369842612,6,"section6",2,"1,9,4,8,3,7,2,10",-8.36793518947992
35.0091889603098,33.3002364593696,6,"section6",3,"1,9,4,8,3,7,2,10",5.13195305092
27.0079702606862,28.4636102278458,7,"section6",1,"1,9,4,8,3,7,2,10",-5.1140384354179
27.7083628187797,28.4196369842612,7,"section6",2,"1,9,4,8,3,7,2,10",-2.5027559847981
36.0552661760921,33.3002364593696,7,"section6",3,"1,9,4,8,3,7,2,10",8.27330376492641
28.8906476465797,28.4636102278458,8,"section6",1,"1,9,4,8,3,7,2,10",1.50029253251978
27.7083628187797,28.4196369842612,8,"section6",2,"1,9,4,8,3,7,2,10",-2.5027559847981
24.3066912673379,33.3002364593696,8,"section6",3,"1,9,4,8,3,7,2,10",-27.0074514425895
29.2065969651787,28.4636102278458,9,"section6",1,"1,9,4,8,3,7,2,10",2.61030393328687
28.0694477543214,28.4196369842612,9,"section6",2,"1,9,4,8,3,7,2,10",-1.23220866661216
24.3066912673379,33.3002364593696,9,"section6",3,"1,9,4,8,3,7,2,10",-27.0074514425895
27.3690551962279,28.4636102278458,10,"section6",1,"1,9,4,8,3,7,2,10",-3.84545397739836
28.0694477543214,28.4196369842612,10,"section6",2,"1,9,4,8,3,7,2,10",-1.23220866661216
36.0552661760921,33.3002364593696,10,"section6",3,"1,9,4,8,3,7,2,10",8.27330376492641
27.3690551962279,28.4636102278458,11,"section6",1,"1,9,4,8,3,7,2,10",-3.84545397739836
25.9777112968267,28.4196369842612,11,"section6",2,"1,9,4,8,3,7,2,10",-8.59238873736088
35.0091889603098,33.3002364593696,11,"section6",3,"1,9,4,8,3,7,2,10",5.13195305092
27.0079702606862,28.4636102278458,12,"section6",1,"1,9,4,8,3,7,2,10",-5.1140384354179
28.0123432767574,28.4196369842612,12,"section6",2,"1,9,4,8,3,7,2,10",-1.43314183685493
32.3286294059605,33.3002364593696,12,"section6",3,"1,9,4,8,3,7,2,10",-2.91771818075407
28.8906476465797,28.4636102278458,13,"section6",1,"1,9,4,8,3,7,2,10",1.50029253251978
29.769474035642,28.4196369842612,13,"section6",2,"1,9,4,8,3,7,2,10",4.74966324210395
32.3286294059605,33.3002364593696,13,"section6",3,"1,9,4,8,3,7,2,10",-2.91771818075407
29.2065969651787,28.4636102278458,14,"section6",1,"1,9,4,8,3,7,2,10",2.61030393328687
27.9891710532026,28.4196369842612,14,"section6",2,"1,9,4,8,3,7,2,10",-1.51467779583876
35.0091889603098,33.3002364593696,14,"section6",3,"1,9,4,8,3,7,2,10",5.13195305092
27.3763275648708,28.4636102278458,15,"section6",1,"1,9,4,8,3,7,2,10",-3.81990427170513
