"app.timing","app.mthd","man.source","acid","incorp","t.incorp","air.temp","wind.2m","rain.rate","app.rate.ni","man.dm","man.ph","ct","tan.app","id","EF","EFp","id.report","EFp.report","different"
"Efterår","Trailing hose","Svinegylle",FALSE,"Deep",4,14.4977479635841,3.32276959833633,0.128260170445409,30,3.9,7.2,168,100,10,0.056,5.6,"066-2010",5.8,"Yes"
"Efterår","Trailing hose","Svinegylle",FALSE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,30,3.9,7.2,168,100,5,0.15,15,"062-2010",15,"No"
"Efterår","Trailing hose","Svinegylle",TRUE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,30,3.9,6.47,168,100,65,0.12,12,"235-2010",12,"No"
"Efterår","Trailing hose","Svinegylle",TRUE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,30,3.9,6.47,168,100,65,0.12,12,"227-2010",12,"No"
"Maj","Closed slot injection","Afgasset biomasse",FALSE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,0,5.9,7.9,168,100,58,0.027,2.7,NA,NA,NA
"Maj","Closed slot injection","Kvæggylle",FALSE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,0,6.5,7,168,100,38,0.016,1.6,NA,NA,NA
"Maj","Closed slot injection","Svinegylle",FALSE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,0,3.9,7.2,168,100,18,0.018,1.8,NA,NA,NA
"Maj","Open slot injection","Afgasset biomasse",FALSE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,0,5.9,7.9,168,100,53,0.19,19,NA,NA,NA
"Maj","Open slot injection","Kvæggylle",FALSE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,0,6.5,7,168,100,33,0.15,15,NA,NA,NA
"Maj","Open slot injection","Svinegylle",FALSE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,0,3.9,7.2,168,100,13,0.099,9.9,NA,NA,NA
"Maj","Trailing hose","Afgasset biomasse",FALSE,"Deep",4,12.4492495309568,3.48391526295633,0.0702993488962998,30,5.9,7.9,168,100,48,0.18,18,NA,NA,NA
"Maj","Trailing hose","Afgasset biomasse",FALSE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,30,5.9,7.9,168,100,43,0.34,34,"093-2010",30,"Yes"
"Maj","Trailing hose","Afgasset biomasse",TRUE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,30,5.9,6.52,168,100,73,0.22,22,NA,NA,NA
"Maj","Trailing hose","Kvæggylle",FALSE,"Deep",4,12.4492495309568,3.48391526295633,0.0702993488962998,30,6.5,7,168,100,28,0.071,7.1,NA,NA,NA
"Maj","Trailing hose","Kvæggylle",FALSE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,30,6.5,7,168,100,23,0.3,30,"019-2010",30,"No"
"Maj","Trailing hose","Kvæggylle",TRUE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,30,6.5,6.47,168,100,68,0.23,23,"188-2010",22,"Yes"
"Maj","Trailing hose","Svinegylle",FALSE,"Deep",4,12.4492495309568,3.48391526295633,0.0702993488962998,30,3.9,7.2,168,100,8,0.048,4.8,NA,NA,NA
"Maj","Trailing hose","Svinegylle",FALSE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,30,3.9,7.2,168,100,3,0.15,15,"056-2010",15,"No"
"Maj","Trailing hose","Svinegylle",TRUE,"None",NA,12.4492495309568,3.48391526295633,0.0702993488962998,30,3.9,6.47,168,100,63,0.12,12,"221-2010",11,"Yes"
"Marts","Closed slot injection","Afgasset biomasse",FALSE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,0,5.9,7.9,168,100,56,0.026,2.6,"075-2010",2.6,"No"
"Marts","Closed slot injection","Kvæggylle",FALSE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,0,6.5,7,168,100,36,0.016,1.6,"001-2010",1.6,"No"
"Marts","Closed slot injection","Svinegylle",FALSE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,0,3.9,7.2,168,100,16,0.018,1.8,"038-2010",1.8,"No"
"Marts","Open slot injection","Afgasset biomasse",FALSE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,0,5.9,7.9,168,100,51,0.18,18,"077-2010",16,"Yes"
"Marts","Open slot injection","Kvæggylle",FALSE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,0,6.5,7,168,100,31,0.12,12,"003-2010",12,"No"
"Marts","Open slot injection","Svinegylle",FALSE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,0,3.9,7.2,168,100,11,0.096,9.6,"040-2010",9.7,"Yes"
"Marts","Trailing hose","Afgasset biomasse",FALSE,"Deep",4,4.43101207056639,4.05891613991413,0.0599629009095261,30,5.9,7.9,168,100,46,0.086,8.6,"086-2010",8.7,"Yes"
"Marts","Trailing hose","Afgasset biomasse",FALSE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,30,5.9,7.9,168,100,41,0.32,32,"091-2010",28,"Yes"
"Marts","Trailing hose","Afgasset biomasse",TRUE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,30,5.9,6.52,168,100,71,0.15,15,NA,NA,NA
"Marts","Trailing hose","Kvæggylle",FALSE,"Deep",4,4.43101207056639,4.05891613991413,0.0599629009095261,30,6.5,7,168,100,26,0.029,2.9,"012-2010",3.1,"Yes"
"Marts","Trailing hose","Kvæggylle",FALSE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,30,6.5,7,168,100,21,0.22,22,"017-2010",22,"No"
"Marts","Trailing hose","Kvæggylle",TRUE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,30,6.5,6.47,168,100,66,0.15,15,"199-2010",14,"Yes"
"Marts","Trailing hose","Kvæggylle",TRUE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,30,6.5,6.47,168,100,66,0.15,15,"186-2010",14,"Yes"
"Marts","Trailing hose","Svinegylle",FALSE,"Deep",4,4.43101207056639,4.05891613991413,0.0599629009095261,30,3.9,7.2,168,100,6,0.023,2.3,"049-2010",2.4,"Yes"
"Marts","Trailing hose","Svinegylle",FALSE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,30,3.9,7.2,168,100,1,0.14,14,"054-2010",14,"No"
"Marts","Trailing hose","Svinegylle",TRUE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,30,3.9,6.47,168,100,61,0.096,9.6,"232-2010",9.2,"Yes"
"Marts","Trailing hose","Svinegylle",TRUE,"None",NA,4.43101207056639,4.05891613991413,0.0599629009095261,30,3.9,6.47,168,100,61,0.096,9.6,"219-2010",9.2,"Yes"
"Sommer","Closed slot injection","Afgasset biomasse",FALSE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,0,5.9,7.9,168,100,59,0.027,2.7,"080-2010",2.6,"Yes"
"Sommer","Closed slot injection","Kvæggylle",FALSE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,0,6.5,7,168,100,39,0.016,1.6,"006-2010",1.6,"No"
"Sommer","Closed slot injection","Svinegylle",FALSE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,0,3.9,7.2,168,100,19,0.018,1.8,"043-2010",1.8,"No"
"Sommer","Open slot injection","Afgasset biomasse",FALSE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,0,5.9,7.9,168,100,54,0.19,19,"079-2010",17,"Yes"
"Sommer","Open slot injection","Kvæggylle",FALSE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,0,6.5,7,168,100,34,0.16,16,"005-2010",15,"Yes"
"Sommer","Open slot injection","Svinegylle",FALSE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,0,3.9,7.2,168,100,14,0.1,10,"042-2010",10,"No"
"Sommer","Trailing hose","Afgasset biomasse",FALSE,"Deep",4,16.8762259816193,3.15624012423227,0.105925308296069,30,5.9,7.9,168,100,49,0.24,24,"098-2010",20,"Yes"
"Sommer","Trailing hose","Afgasset biomasse",FALSE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,30,5.9,7.9,168,100,44,0.35,35,"094-2010",30,"Yes"
"Sommer","Trailing hose","Afgasset biomasse",TRUE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,30,5.9,6.52,168,100,74,0.26,26,NA,NA,NA
"Sommer","Trailing hose","Kvæggylle",FALSE,"Deep",4,16.8762259816193,3.15624012423227,0.105925308296069,30,6.5,7,168,100,29,0.11,11,"024-2010",11,"No"
"Sommer","Trailing hose","Kvæggylle",FALSE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,30,6.5,7,168,100,24,0.33,33,"020-2010",33,"No"
"Sommer","Trailing hose","Kvæggylle",TRUE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,30,6.5,6.47,168,100,69,0.28,28,"189-2010",27,"Yes"
"Sommer","Trailing hose","Kvæggylle",TRUE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,30,6.5,6.47,168,100,69,0.28,28,"201-2010",27,"Yes"
"Sommer","Trailing hose","Svinegylle",FALSE,"Deep",4,16.8762259816193,3.15624012423227,0.105925308296069,30,3.9,7.2,168,100,9,0.067,6.7,"061-2010",6.7,"No"
"Sommer","Trailing hose","Svinegylle",FALSE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,30,3.9,7.2,168,100,4,0.16,16,"057-2010",16,"No"
"Sommer","Trailing hose","Svinegylle",TRUE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,30,3.9,6.47,168,100,64,0.12,12,"222-2010",12,"No"
"Sommer","Trailing hose","Svinegylle",TRUE,"None",NA,16.8762259816193,3.15624012423227,0.105925308296069,30,3.9,6.47,168,100,64,0.12,12,"234-2010",12,"No"
