"app.timing","app.mthd","man.source","acid","incorp","t.incorp","app.timing.dk","app.mthd.wthr","air.temp","wind.2m","rain.rate","notes","app.rate.ni","man.name","man.dm","man.ph","man.source.pig","app.mthd.os","app.mthd.cs","incorp.deep","incorp.shallow","ct","tan.app","id","EF","EFp","id.report","EFp.report","diff","flag","flag.acid"
"March","Trailing hose","Digestate",FALSE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,51,0.28,28,"091-2010",28,0,FALSE,FALSE
"March","Trailing hose","Digestate",FALSE,"Shallow",4,"Marts","All",4.9,4.025,0.09,NA,30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,56,0.14,14,"287-2010",14,0,FALSE,FALSE
"March","Trailing hose","Digestate",TRUE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,30,"Afgasset biomasse",5.1,6.52,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,86,0.14,14,NA,NA,NA,FALSE,NA
"March","Trailing hose","Pig",FALSE,"Deep",4,"Marts","All",4.9,4.025,0.09,NA,30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,11,0.024,2.4,"049-2010",2.4,0,FALSE,FALSE
"March","Trailing hose","Pig",FALSE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,1,0.14,14,"054-2010",14,0,FALSE,FALSE
"March","Trailing hose","Pig",FALSE,"Shallow",4,"Marts","All",4.9,4.025,0.09,NA,30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,6,0.053,5.3,"267-2010",5.3,0,FALSE,FALSE
"March","Trailing hose","Pig",TRUE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,30,"Svinegylle",3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,76,0.096,9.6,"166-2010",7,2.6,FALSE,TRUE
"March","Trailing hose","Pig",TRUE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,30,"Svinegylle",3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,76,0.096,9.6,"153-2010",7,2.6,FALSE,TRUE
"May","Closed slot injection","Cattle",FALSE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,0,"Kvæggylle",6.5,7,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,48,0.016,1.6,NA,NA,NA,NA,NA
"May","Closed slot injection","Digestate",FALSE,"None",NA,"Maj","All",12.4,3.565,0.09,NA,0,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,73,0.026,2.6,NA,NA,NA,NA,NA
