"man.source","scenario","app.timing","EF.field.liquid.none","EF.field.solid.deep","EF.field.solid.none","EF.field.raw.none","sep.eff.TAN","EF.stor.raw","EF.stor.liquid","EF.stor.solid","N.loss.stor.solid","EF.raw.overall","EF.sep.incorp.overall","EF.sep.surface.overall"
NA,"high","Maj",1,1,1,0.3007,0.25,0.017,0.017,0.0517241379310345,0.224137931034483,0.3125881,0.956896551724138,0.956896551724138
NA,"low","Maj",2,1,1,0.3007,0.02,0.017,0.017,0.0517241379310345,0.224137931034483,0.3125881,1.95989172413793,1.95989172413793
NA,"high2","Maj",1,1,1,0.3007,0.02,0.017,0.017,0.0517241379310345,0.224137931034483,0.3125881,0.996551724137931,0.996551724137931
NA,"mid","Maj",1,1,1,0.3007,0.1,0.017,0.017,0.0517241379310345,0.224137931034483,0.3125881,0.982758620689655,0.982758620689655
"Svinegylle","high2","Sommer",1,1,1,0.1552,0.02,0.013,0.013,0.164556962025316,0.354430379746835,0.1661824,0.99620253164557,0.99620253164557
"Svinegylle","high","Sommer",1,1,1,0.1552,0.25,0.013,0.013,0.164556962025316,0.354430379746835,0.1661824,0.95253164556962,0.95253164556962
"Svinegylle","low","Sommer",2,1,1,0.1552,0.02,0.013,0.013,0.164556962025316,0.354430379746835,0.1661824,1.96346253164557,1.96346253164557
"Svinegylle","mid","Sommer",1,1,1,0.1552,0.1,0.013,0.013,0.164556962025316,0.354430379746835,0.1661824,0.981012658227848,0.981012658227848
"Afgasset biomasse","high","Sommer",1,1,1,0.3492,0.25,0.026,0.026,0.168831168831169,0.363636363636364,0.3661208,0.951298701298701,0.951298701298701
"Afgasset biomasse","high2","Sommer",1,1,1,0.3492,0.02,0.026,0.026,0.168831168831169,0.363636363636364,0.3661208,0.996103896103896,0.996103896103896
"Afgasset biomasse","low","Sommer",2,1,1,0.3492,0.02,0.026,0.026,0.168831168831169,0.363636363636364,0.3661208,1.9506238961039,1.9506238961039
"Afgasset biomasse","mid","Sommer",1,1,1,0.3492,0.1,0.026,0.026,0.168831168831169,0.363636363636364,0.3661208,0.980519480519481,0.980519480519481
NA,"high","Sommer",1,1,1,0.3285,0.25,0.017,0.017,0.0517241379310345,0.224137931034483,0.3399155,0.956896551724138,0.956896551724138
NA,"low","Sommer",2,1,1,0.3285,0.02,0.017,0.017,0.0517241379310345,0.224137931034483,0.3399155,1.95989172413793,1.95989172413793
NA,"high2","Sommer",1,1,1,0.3285,0.02,0.017,0.017,0.0517241379310345,0.224137931034483,0.3399155,0.996551724137931,0.996551724137931
NA,"mid","Sommer",1,1,1,0.3285,0.1,0.017,0.017,0.0517241379310345,0.224137931034483,0.3399155,0.982758620689655,0.982758620689655
"Svinegylle","mid",NA,1,1,1,0.1536,0.1,0.013,0.013,0.164556962025316,0.354430379746835,0.1646032,0.981012658227848,0.981012658227848
"Svinegylle","low",NA,2,1,1,0.1536,0.02,0.013,0.013,0.164556962025316,0.354430379746835,0.1646032,1.96346253164557,1.96346253164557
"Svinegylle","high2",NA,1,1,1,0.1536,0.02,0.013,0.013,0.164556962025316,0.354430379746835,0.1646032,0.99620253164557,0.99620253164557
"Svinegylle","high",NA,1,1,1,0.1536,0.25,0.013,0.013,0.164556962025316,0.354430379746835,0.1646032,0.95253164556962,0.95253164556962
"Afgasset biomasse","high2",NA,1,1,1,0.3457,0.02,0.026,0.026,0.168831168831169,0.363636363636364,0.3627118,0.996103896103896,0.996103896103896
"Afgasset biomasse","high",NA,1,1,1,0.3457,0.25,0.026,0.026,0.168831168831169,0.363636363636364,0.3627118,0.951298701298701,0.951298701298701
"Afgasset biomasse","low",NA,2,1,1,0.3457,0.02,0.026,0.026,0.168831168831169,0.363636363636364,0.3627118,1.9506238961039,1.9506238961039
"Afgasset biomasse","mid",NA,1,1,1,0.3457,0.1,0.026,0.026,0.168831168831169,0.363636363636364,0.3627118,0.980519480519481,0.980519480519481
NA,"high2",NA,1,1,1,0.3129,0.02,0.017,0.017,0.0517241379310345,0.224137931034483,0.3245807,0.996551724137931,0.996551724137931
NA,"high",NA,1,1,1,0.3129,0.25,0.017,0.017,0.0517241379310345,0.224137931034483,0.3245807,0.956896551724138,0.956896551724138
NA,"mid",NA,1,1,1,0.3129,0.1,0.017,0.017,0.0517241379310345,0.224137931034483,0.3245807,0.982758620689655,0.982758620689655
NA,"low",NA,2,1,1,0.3129,0.02,0.017,0.017,0.0517241379310345,0.224137931034483,0.3245807,1.95989172413793,1.95989172413793
