"app.timing","air.temp","wind.2m","rain.rate","scenario","man.source","fraction","red.dm","man.dm","man.ph","incorp","app.mthd","t.incorp","app.rate.ni","ct","tan.app","id","EF","EFp","fraction.nm","incorp.nm","frac.incorp.nm"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"low","Kv�ggylle","solid",NA,15,7,"deep","Broadcast",4,30,168,100,100,0.1249,12.49,"Fiber","Nedpløjning","Fiber med nedpløjning"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"low","Afgasset biomasse","solid",NA,15,7.9,"deep","Broadcast",4,30,168,100,101,0.1272,12.72,"Fiber","Nedpløjning","Fiber med nedpløjning"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"low","Afgasset biomasse","solid",NA,15,7.9,"deep","Broadcast",4,30,168,100,102,0.1921,19.21,"Fiber","Nedpløjning","Fiber med nedpløjning"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"low","Afgasset biomasse","solid",NA,15,7.9,"deep","Broadcast",4,30,168,100,103,0.2961,29.61,"Fiber","Nedpløjning","Fiber med nedpløjning"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"low","Afgasset biomasse","solid",NA,15,7.9,"deep","Broadcast",4,30,168,100,104,0.4599,45.99,"Fiber","Nedpløjning","Fiber med nedpløjning"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"low","Afgasset biomasse","solid",NA,15,7.9,"deep","Broadcast",4,30,168,100,105,0.364,36.4,"Fiber","Nedpløjning","Fiber med nedpløjning"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"low","Svinegylle","solid",NA,15,7.2,"none","Broadcast",NA,30,168,100,106,0.4627,46.27,"Fiber","Ingen","Fiber"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"low","Svinegylle","solid",NA,15,7.2,"none","Broadcast",NA,30,168,100,107,0.5682,56.82,"Fiber","Ingen","Fiber"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"low","Svinegylle","solid",NA,15,7.2,"none","Broadcast",NA,30,168,100,108,0.6705,67.05,"Fiber","Ingen","Fiber"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"low","Svinegylle","solid",NA,15,7.2,"none","Broadcast",NA,30,168,100,109,0.7583,75.83,"Fiber","Ingen","Fiber"
