source,meas.meth,sep.meth,coagulant,slurry,DM.un,DM.sep,pH.un,pH.sep,TAN.un,TAN.sep,app.meth,app.amount.un,app.amount.sep,time,timeA,temp.app,temp.avg,soil.type,clay,crop,water.cont,emis.un,emis.sep,duration
Sommer et al. (1991),Lockyer WT,mechanical,no,Cattle,6.9,3.6,7.4,7.8,1.7,2.6,surface applied,30,30,august,Summer,20,16,sandy loam,10,grass,NA,56.5,29.6,144
Sommer et al. (1991),Lockyer WT,mechanical,no,Cattle,8.2,2.8,7.6,7.7,2.8,2.7,surface applied,30,30,october,Fall,12,11,sandy loam,10,grass,NA,38.0,25.1,144
Sommer et al. (1991),Lockyer WT,mechanical,no,Cattle,8.2,2.8,7.6,7.7,2.8,2.7,surface applied,30,30,october,Fall,10,8,sandy loam,10,grass,NA,64.2,39.9,144
Sommer et al. (1991),Lockyer WT,mechanical,no,Cattle,10,6,7.6,7.7,2.9,2.9,surface applied,30,30,november,Fall,8,2,sandy loam,10,grass,NA,86.8,44.0,144
Sommer et al. (1991),Lockyer WT,mechanical,no,Cattle,10,5.2,7.6,7.7,2.9,3,surface applied,30,30,november,Fall,8,2,sandy loam,10,grass,NA,86.8,38.4,144
Sommer et al. (1991),Lockyer WT,mechanical,no,Cattle,10,6,7.6,7.7,2.9,2.9,surface applied,30,30,november,Fall,2,1,sandy loam,10,grass,NA,71.1,45.5,144
Sommer et al. (1991),Lockyer WT,mechanical,no,Cattle,10,5.2,7.6,7.7,2.9,3,surface applied,30,30,november,Fall,2,1,sandy loam,10,grass,NA,71.1,40.7,144
Sommer et al. (2006),Laboratory,centrifugation,no,Digested pig,3.4,2.3,8.1,8.2,4.1,4,surface applied,30,30,Laboratory,Laboratoryoratory,NA,15,sandy,4,none,0.18,15,12,96
Sommer et al. (2006),Laboratory,centrifugation,no,Digested pig,3.4,2.3,8.1,8.2,4.1,4,surface applied,30,30,Laboratory,Laboratoryoratory,NA,15,sandy loam,19,none,0.18,9,5,96
Stevens et al. (1992),Stevens chambers,belt press,no,Cattle,11.3,10.5,7.1,7.1,3.5,3.5,broadcast,21,21,may - august,Spring-summer,NA,NA,NA,16,grass,NA,29,26,96
Stevens et al. (1992),Stevens chambers,belt press,no,Cattle,11.3,10,7.1,7.2,3.5,3.6,broadcast,21,21,may - august,Spring-summer,NA,NA,NA,16,grass,NA,29,25,96
Stevens et al. (1992),Stevens chambers,belt press,no,Cattle,11.3,8.6,7.1,7.2,3.5,3.6,broadcast,21,21,may - august,Spring-summer,NA,NA,NA,16,grass,NA,29,21,96
Stevens et al. (1992),Stevens chambers,belt press,no,Cattle,11.3,8.4,7.1,7.2,3.5,3.6,broadcast,21,21,may - august,Spring-summer,NA,NA,NA,16,grass,NA,29,18,96
Stevens et al. (1992),Stevens chambers,belt press,no,Cattle,11.3,8.2,7.1,7.2,3.5,3.6,broadcast,21,21,may - august,Spring-summer,NA,NA,NA,16,grass,NA,29,17,96
Stevens et al. (1992),Stevens chambers,belt press,no,Cattle,11.3,7.9,7.1,7.2,3.5,3.6,broadcast,21,21,may - august,Spring-summer,NA,NA,NA,16,grass,NA,29,20,96
Stevens et al. (1992),Stevens chambers,belt press,no,Cattle,11.3,7.7,7.1,7.2,3.5,3.6,broadcast,21,21,may - august,Spring-summer,NA,NA,NA,16,grass,NA,29,15,96
Thompson et al. (1990),Lockyer WT,mechanical,no,Cattle,6.5,4,7.5,7.4,1.1,1.2,surface applied,80,80,march,Spring,16,NA,sandy loam,10,grass,NA,31.9,32.6,144
Vandre et al. (1997),indirect open measurement technique,filtered,no,Cattle,7.1,4.4,NA,NA,2.8,2.5,broadcast,20,20,spring,Spring,8,NA,silty loam,NA,winter wheat,NA,19,7,144
Vandre et al. (1997),indirect open measurement technique,filtered,no,Cattle,7.1,4.4,NA,NA,2.8,2.5,broadcast,20,20,spring,Spring,22,NA,silty loam,NA,winter wheat,NA,30,30,144
Vandre et al. (1997),indirect open measurement technique,filtered,no,Cattle,7.1,4.4,NA,NA,2.8,2.5,broadcast,20,20,spring,Spring,19,NA,silty loam,NA,winter wheat,NA,62,75,144
Vandre et al. (1997),indirect open measurement technique,filtered,no,Cattle,7.1,4.4,NA,NA,2.8,2.5,broadcast,20,20,spring,Spring,15,NA,silty loam,NA,winter wheat,NA,25,40,144
Wagner et al. (2021),DTM,centrifugation,no,Digestate,3.5,2.4,7.6,8,1.5,1.5,trailing hoses,53,53,april,Spring,7,7,loamy sand,7,winter wheat,NA,37,19,72
Wagner et al. (2021),DTM,centrifugation,no,Digestate,3.5,2.4,6.7,7.9,1.5,1.5,trailing hoses,53,53,april,Spring,13,7,loamy sand,7,winter wheat,NA,9,4,72
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,8.7,8.1,7.6,7.6,3.5,3.6,broadcast,21,21,may,Spring,NA,NA,clay loam,7,grass,NA,19.12,14,101
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,8.7,7.8,7.6,7.6,3.5,3.6,broadcast,21,21,may,Spring,NA,NA,clay loam,7,grass,NA,19.12,11.55,101
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,8.7,6.5,7.6,7.6,3.5,3.6,broadcast,21,21,may,Spring,NA,NA,clay loam,7,grass,NA,19.12,9.89,101
Frost et al. (1990),Stevens chambers,sieving,no,Cattle,8.7,5.8,7.6,7.6,3.5,3.6,broadcast,21,21,may,Spring,NA,NA,clay loam,7,grass,NA,19.12,6.71,101
