"animal","sample","dose.kg.t","n","pH","buff.int"
"Afgasset","Båndlev(Hinnerup)",12.625,2,6.7227873152131,NA
"Afgasset","Båndlev(Hinnerup)",12.75,2,6.71760240662288,NA
"Afgasset","Båndlev(Hinnerup)",12.875,2,6.71275016673912,NA
"Afgasset","Båndlev(Hinnerup)",13,2,6.70802136499733,NA
"Afgasset","Båndlev(Hinnerup)",13.125,2,6.70320639584592,NA
"Afgasset","Båndlev(Hinnerup)",13.25,2,6.69809565373329,NA
"Afgasset","Båndlev(Hinnerup)",13.375,2,6.69251414943659,NA
"Afgasset","Båndlev(Hinnerup)",13.5,2,6.68653272424115,NA
"Afgasset","Båndlev(Hinnerup)",13.625,2,6.68024011692192,NA
"Afgasset","Båndlev(Hinnerup)",13.75,2,6.6735817139562,NA
"Afgasset","Båndlev(Hinnerup)",13.875,2,6.66648993937432,NA
"Afgasset","Båndlev(Hinnerup)",14,2,6.65889721720662,NA
"Afgasset","Båndlev(Hinnerup)",14.125,2,6.65072884640482,NA
"Afgasset","Båndlev(Hinnerup)",14.25,2,6.64178557511,NA
"Afgasset","Båndlev(Hinnerup)",14.375,2,6.63202374253244,NA
"Afgasset","Båndlev(Hinnerup)",14.5,2,6.62198637286365,NA
"Afgasset","Båndlev(Hinnerup)",14.625,2,6.61228861484869,NA
"Afgasset","Båndlev(Hinnerup)",14.75,2,6.60354561723258,NA
"Afgasset","Båndlev(Hinnerup)",14.875,2,6.5963715823203,NA
"Afgasset","Båndlev(Hinnerup)",15,2,6.59125907807078,NA
"Afgasset","Båndlev(Hinnerup)",15.125,2,6.5876122964011,NA
"Afgasset","Båndlev(Hinnerup)",15.25,2,6.58453767086721,NA
"Afgasset","Båndlev(Hinnerup)",15.375,2,6.58124669417213,NA
"Afgasset","Båndlev(Hinnerup)",15.5,2,6.57695085901887,NA
"Afgasset","Båndlev(Hinnerup)",15.625,2,6.57086168564578,NA
"Afgasset","Båndlev(Hinnerup)",15.75,2,6.56221174144016,NA
"Afgasset","Båndlev(Hinnerup)",15.875,2,6.55025940269637,NA
"Afgasset","Båndlev(Hinnerup)",16,2,6.5356788453351,NA
"Afgasset","Båndlev(Hinnerup)",16.125,2,6.51943011989308,NA
"Afgasset","Båndlev(Hinnerup)",16.25,2,6.50247327690707,NA
"Afgasset","Båndlev(Hinnerup)",16.375,2,6.4857683669138,NA
"Afgasset","Båndlev(Hinnerup)",16.5,2,6.47008137784281,NA
"Afgasset","Båndlev(Hinnerup)",16.625,2,6.45560064739232,NA
"Afgasset","Båndlev(Hinnerup)",16.75,2,6.44251058971877,NA
"Afgasset","Båndlev(Hinnerup)",16.875,2,6.43101157566738,NA
"Afgasset","Båndlev(Hinnerup)",17,2,6.42130397608336,NA
"Afgasset","Båndlev(Hinnerup)",17.125,2,6.41358816181191,NA
"Afgasset","Båndlev(Hinnerup)",17.25,2,6.40750486072448,NA
"Afgasset","Båndlev(Hinnerup)",17.375,2,6.40082539983207,NA
"Afgasset","Båndlev(Hinnerup)",17.5,2,6.39364251381562,NA
"Afgasset","Båndlev(Hinnerup)",17.625,2,6.38636039438256,NA
"Afgasset","Båndlev(Hinnerup)",17.75,2,6.37938323324035,NA
"Afgasset","Båndlev(Hinnerup)",17.875,2,6.37311522209642,NA
"Afgasset","Båndlev(Hinnerup)",18,2,6.36770691425291,NA
"Afgasset","Båndlev(Hinnerup)",18.125,2,6.3601495354757,NA
"Afgasset","Båndlev(Hinnerup)",18.25,2,6.34948334501201,NA
"Afgasset","Båndlev(Hinnerup)",18.375,2,6.33573833649854,NA
"Afgasset","Båndlev(Hinnerup)",18.5,2,6.31894450357202,NA
"Afgasset","Båndlev(Hinnerup)",18.625,2,6.29913183986915,NA
"Afgasset","Båndlev(Hinnerup)",18.75,2,6.27631593193754,NA
"Afgasset","Båndlev(Hinnerup)",18.875,2,6.2487445890637,NA
"Afgasset","Båndlev(Hinnerup)",19,2,6.21692952356828,NA
"Afgasset","Båndlev(Hinnerup)",19.125,2,6.18336254935036,NA
"Afgasset","Båndlev(Hinnerup)",19.25,2,6.15053548030906,NA
"Afgasset","Båndlev(Hinnerup)",19.375,2,6.12094013034348,NA
"Afgasset","Båndlev(Hinnerup)",19.5,2,6.09709495511144,NA
"Afgasset","Båndlev(Hinnerup)",19.625,2,6.0776915282985,NA
"Afgasset","Båndlev(Hinnerup)",19.75,2,6.05694816696792,NA
"Afgasset","Båndlev(Hinnerup)",19.875,2,6.03593653781958,NA
"Afgasset","Båndlev(Hinnerup)",20,2,6.01588307408183,NA
"Afgasset","Båndlev(Hinnerup)",20.125,2,5.998014208983,NA
"Afgasset","Båndlev(Hinnerup)",20.25,2,5.9835859494056,NA
"Afgasset","Båndlev(Hinnerup)",20.375,2,5.97269999751837,NA
"Afgasset","Båndlev(Hinnerup)",20.5,2,5.96200136894387,NA
"Afgasset","Båndlev(Hinnerup)",20.625,2,5.94998072922103,NA
"Afgasset","Båndlev(Hinnerup)",20.75,2,5.93539733718858,NA
"Afgasset","Båndlev(Hinnerup)",20.875,2,5.91701045168522,NA
"Afgasset","Båndlev(Hinnerup)",21,2,5.89356037436215,NA
"Afgasset","Båndlev(Hinnerup)",21.125,2,5.86382552100901,NA
"Afgasset","Båndlev(Hinnerup)",21.25,2,5.82787241015972,NA
"Afgasset","Båndlev(Hinnerup)",21.375,2,5.78741794966313,NA
"Afgasset","Båndlev(Hinnerup)",21.5,2,5.74432418156729,NA
"Afgasset","Båndlev(Hinnerup)",21.625,2,5.7004531479202,NA
"Afgasset","Båndlev(Hinnerup)",21.75,2,5.65643840402312,NA
"Afgasset","Båndlev(Hinnerup)",21.875,2,5.6075782006887,NA
"Afgasset","Båndlev(Hinnerup)",22,2,5.55446857454804,NA
"Afgasset","Båndlev(Hinnerup)",22.125,2,5.49563920572357,NA
"Afgasset","Båndlev(Hinnerup)",22.25,2,5.42903149052996,NA
"Afgasset","Båndlev(Hinnerup)",22.375,2,5.35258682528187,NA
"Afgasset","Båndlev(Hinnerup)",22.5,2,5.26395799953284,NA
"Afgasset","Båndlev(Hinnerup)",22.625,2,5.16059111811824,NA
"Afgasset","Båndlev(Hinnerup)",22.75,2,5.0431317455893,NA
"Afgasset","Båndlev(Hinnerup)",22.875,2,4.91512399245672,NA
"Afgasset","Båndlev(Hinnerup)",23,2,4.78110679836668,NA
"Afgasset","Båndlev(Hinnerup)",23.125,2,4.64562119108964,NA
"Afgasset","Båndlev(Hinnerup)",23.25,2,4.51330561979114,NA
"Afgasset","Båndlev(Hinnerup)",23.375,2,4.38869705482653,NA
"Afgasset","Båndlev(Hinnerup)",23.5,2,4.27520894167386,NA
"Afgasset","Båndlev(Hinnerup)",23.625,2,4.17571646774484,NA
"Afgasset","Båndlev(Hinnerup)",23.75,2,4.09276727438047,NA
"Afgasset","Båndlev(Hinnerup)",23.875,2,4.0289009317489,NA
"Afgasset","Brd Thorsen",0,2,7.655,NA
"Afgasset","Brd Thorsen",0.125,2,7.5972865149355,NA
"Afgasset","Brd Thorsen",0.25,2,7.54607370104232,NA
"Afgasset","Brd Thorsen",0.375,2,7.50087507886122,NA
"Afgasset","Brd Thorsen",0.5,2,7.46120416893295,NA
"Afgasset","Brd Thorsen",0.625,2,7.42657449179825,NA
"Afgasset","Brd Thorsen",0.75,2,7.39649956799788,NA
"Afgasset","Brd Thorsen",0.875,2,7.37048836354829,NA
"Afgasset","Brd Thorsen",1,2,7.34793710947135,NA
"Afgasset","Brd Thorsen",1.125,2,7.32814278643925,NA
"Afgasset","Brd Thorsen",1.25,2,7.31039949142014,NA
"Afgasset","Brd Thorsen",1.375,2,7.29400132138218,NA
"Afgasset","Brd Thorsen",1.5,2,7.27824237329354,NA
"Afgasset","Brd Thorsen",1.625,2,7.26240391776334,NA
"Afgasset","Brd Thorsen",1.75,2,7.24600071180814,NA
"Afgasset","Brd Thorsen",1.875,2,7.22930862209822,NA
"Afgasset","Brd Thorsen",2,2,7.21271886346466,NA
"Afgasset","Brd Thorsen",2.125,2,7.19662265073858,NA
"Afgasset","Brd Thorsen",2.25,2,7.18141119875107,NA
"Afgasset","Brd Thorsen",2.375,2,7.16749120694008,NA
"Afgasset","Brd Thorsen",2.5,2,7.15537774693041,NA
"Afgasset","Brd Thorsen",2.625,2,7.14493206035964,NA
"Afgasset","Brd Thorsen",2.75,2,7.13563922601054,NA
"Afgasset","Brd Thorsen",2.875,2,7.12698211476167,NA
"Afgasset","Brd Thorsen",3,2,7.11844359749159,NA
"Afgasset","Brd Thorsen",3.125,2,7.10950064845663,NA
"Afgasset","Brd Thorsen",3.25,2,7.09950316774846,NA
"Afgasset","Brd Thorsen",3.375,2,7.08811376466834,NA
"Afgasset","Brd Thorsen",3.5,2,7.07561105909584,NA
"Afgasset","Brd Thorsen",3.625,2,7.0623191405184,NA
"Afgasset","Brd Thorsen",3.75,2,7.04856209842349,NA
"Afgasset","Brd Thorsen",3.875,2,7.03460659220191,NA
"Afgasset","Brd Thorsen",4,2,7.02047185551121,NA
"Afgasset","Brd Thorsen",4.125,2,7.00711510486066,NA
"Afgasset","Brd Thorsen",4.25,2,6.99524795227408,NA
"Afgasset","Brd Thorsen",4.375,2,6.98545314517853,NA
"Afgasset","Brd Thorsen",4.5,2,6.9783134281937,NA
"Afgasset","Brd Thorsen",4.625,2,6.97430231943637,NA
"Afgasset","Brd Thorsen",4.75,2,6.97132471529398,NA
"Afgasset","Brd Thorsen",4.875,2,6.96821407216939,NA
"Afgasset","Brd Thorsen",5,2,6.96492614264772,NA
"Afgasset","Brd Thorsen",5.125,2,6.96156671154121,NA
"Afgasset","Brd Thorsen",5.25,2,6.95824625364466,NA
"Afgasset","Brd Thorsen",5.375,2,6.95507520537793,NA
"Afgasset","Brd Thorsen",5.5,2,6.95213352686842,NA
"Afgasset","Brd Thorsen",5.625,2,6.94941573814561,NA
"Afgasset","Brd Thorsen",5.75,2,6.94681931232427,NA
"Afgasset","Brd Thorsen",5.875,2,6.94403606851876,NA
"Afgasset","Brd Thorsen",6,2,6.94072621482017,NA
"Afgasset","Brd Thorsen",6.125,2,6.93654995931958,NA
"Afgasset","Brd Thorsen",6.25,2,6.93110764401922,NA
"Afgasset","Brd Thorsen",6.375,2,6.92425215896994,NA
"Afgasset","Brd Thorsen",6.5,2,6.91595434451453,NA
"Afgasset","Brd Thorsen",6.625,2,6.90649741842007,NA
"Afgasset","Brd Thorsen",6.75,2,6.8967147876337,NA
"Afgasset","Brd Thorsen",6.875,2,6.88745562512683,NA
"Afgasset","Brd Thorsen",7,2,6.87948823137794,NA
"Afgasset","Brd Thorsen",7.125,2,6.87336082633876,NA
"Afgasset","Brd Thorsen",7.25,2,6.86947471673144,NA
"Afgasset","Brd Thorsen",7.375,2,6.86634321260015,NA
"Afgasset","Brd Thorsen",7.5,2,6.86342467635209,NA
"Afgasset","Brd Thorsen",7.625,2,6.86067954584227,NA
"Afgasset","Brd Thorsen",7.75,2,6.85806890005172,NA
"Afgasset","Brd Thorsen",7.875,2,6.85555951043785,NA
"Afgasset","Brd Thorsen",8,2,6.85312112777337,NA
"Afgasset","Brd Thorsen",8.125,2,6.84941869178576,NA
"Afgasset","Brd Thorsen",8.25,2,6.84321945067547,NA
"Afgasset","Brd Thorsen",8.375,2,6.83516429154067,NA
"Afgasset","Brd Thorsen",8.5,2,6.82589654935895,NA
"Afgasset","Brd Thorsen",8.625,2,6.81602094052899,NA
"Afgasset","Brd Thorsen",8.75,2,6.8061138636055,NA
"Afgasset","Brd Thorsen",8.875,2,6.79663358106838,NA
"Afgasset","Brd Thorsen",9,2,6.78723363637119,NA
"Afgasset","Brd Thorsen",9.125,2,6.77763868872727,NA
"Afgasset","Brd Thorsen",9.25,2,6.76763798918663,NA
"Afgasset","Brd Thorsen",9.375,2,6.75714995463389,NA
"Afgasset","Brd Thorsen",9.5,2,6.74622459926736,NA
"Afgasset","Brd Thorsen",9.625,2,6.73491793430897,NA
"Afgasset","Brd Thorsen",9.75,2,6.72333801656274,NA
"Afgasset","Brd Thorsen",9.875,2,6.71173419905714,NA
"Afgasset","Brd Thorsen",10,2,6.70037764396398,NA
"Afgasset","Brd Thorsen",10.125,2,6.68944718562865,NA
"Afgasset","Brd Thorsen",10.25,2,6.67899089447699,NA
"Afgasset","Brd Thorsen",10.375,2,6.66904692092237,NA
"Afgasset","Brd Thorsen",10.5,2,6.65962846818434,NA
"Afgasset","Brd Thorsen",10.625,2,6.65051274269717,NA
"Afgasset","Brd Thorsen",10.75,2,6.64134698506132,NA
"Afgasset","Brd Thorsen",10.875,2,6.63178175582782,NA
"Afgasset","Brd Thorsen",11,2,6.62147690635497,NA
"Afgasset","Brd Thorsen",11.125,2,6.61009338546704,NA
"Afgasset","Brd Thorsen",11.25,2,6.59729639147707,NA
"Afgasset","Brd Thorsen",11.375,2,6.58303334034306,NA
"Afgasset","Brd Thorsen",11.5,2,6.56770556252797,NA
"Afgasset","Brd Thorsen",11.625,2,6.55179567827162,NA
"Afgasset","Brd Thorsen",11.75,2,6.53590046300968,NA
"Afgasset","Brd Thorsen",11.875,2,6.5206367851491,NA
"Afgasset","Brd Thorsen",12,2,6.5066215130968,NA
"Afgasset","Brd Thorsen",12.125,2,6.49435616107269,NA
"Afgasset","Brd Thorsen",12.25,2,6.48374400772512,NA
"Afgasset","Brd Thorsen",12.375,2,6.47442174801483,NA
"Afgasset","Brd Thorsen",12.5,2,6.46572450073265,NA
"Afgasset","Brd Thorsen",12.625,2,6.45690982872444,NA
"Afgasset","Brd Thorsen",12.75,2,6.44723529477078,NA
"Afgasset","Brd Thorsen",12.875,2,6.43597328548233,NA
"Afgasset","Brd Thorsen",13,2,6.42272456699232,NA
"Afgasset","Brd Thorsen",13.125,2,6.40748918203894,NA
"Afgasset","Brd Thorsen",13.25,2,6.39074897448942,NA
"Afgasset","Brd Thorsen",13.375,2,6.37316034400419,NA
"Afgasset","Brd Thorsen",13.5,2,6.35537998670798,NA
"Afgasset","Brd Thorsen",13.625,2,6.33806450048217,NA
"Afgasset","Brd Thorsen",13.75,2,6.32174802182627,NA
"Afgasset","Brd Thorsen",13.875,2,6.30656258329684,NA
"Afgasset","Brd Thorsen",14,2,6.29220681165695,NA
"Afgasset","Brd Thorsen",14.125,2,6.27818470194703,NA
"Afgasset","Brd Thorsen",14.25,2,6.26399846462391,NA
"Afgasset","Brd Thorsen",14.375,2,6.24915031014438,NA
"Afgasset","Brd Thorsen",14.5,2,6.23317038417001,NA
"Afgasset","Brd Thorsen",14.625,2,6.21589072589478,NA
"Afgasset","Brd Thorsen",14.75,2,6.19745918011557,NA
"Afgasset","Brd Thorsen",14.875,2,6.1781313520968,NA
"Afgasset","Brd Thorsen",15,2,6.15816534526348,NA
"Afgasset","Brd Thorsen",15.125,2,6.13781926304059,NA
"Afgasset","Brd Thorsen",15.25,2,6.11735001175626,NA
"Afgasset","Brd Thorsen",15.375,2,6.09691122603799,NA
"Afgasset","Brd Thorsen",15.5,2,6.07640056866142,NA
"Afgasset","Brd Thorsen",15.625,2,6.05561333483875,NA
"Afgasset","Brd Thorsen",15.75,2,6.03434091355545,NA
"Afgasset","Brd Thorsen",15.875,2,6.012374693797,NA
"Afgasset","Brd Thorsen",16,2,5.98950606454886,NA
"Afgasset","Brd Thorsen",16.125,2,5.96553540370737,NA
"Afgasset","Brd Thorsen",16.25,2,5.94019526163242,NA
"Afgasset","Brd Thorsen",16.375,2,5.91304904778705,NA
"Afgasset","Brd Thorsen",16.5,2,5.88364533127561,NA
"Afgasset","Brd Thorsen",16.625,2,5.85153268120244,NA
"Afgasset","Brd Thorsen",16.75,2,5.8162596666719,NA
"Afgasset","Brd Thorsen",16.875,2,5.77736724904391,NA
"Afgasset","Brd Thorsen",17,2,5.73452618901227,NA
"Afgasset","Brd Thorsen",17.125,2,5.68792329939937,NA
"Afgasset","Brd Thorsen",17.25,2,5.63782757085828,NA
"Afgasset","Brd Thorsen",17.375,2,5.58450799404204,NA
"Afgasset","Brd Thorsen",17.5,2,5.52823355960372,NA
"Afgasset","Brd Thorsen",17.625,2,5.46927306726947,NA
"Afgasset","Brd Thorsen",17.75,2,5.40786750961628,NA
"Afgasset","Brd Thorsen",17.875,2,5.34425780988746,NA
"Afgasset","Brd Thorsen",18,2,5.2787014466125,NA
"Afgasset","Brd Thorsen",18.125,2,5.21145589832091,NA
"Afgasset","Brd Thorsen",18.25,2,5.14277864354215,NA
"Afgasset","Brd Thorsen",18.375,2,5.07292716080574,NA
"Afgasset","Brd Thorsen",18.5,2,5.00215419270635,NA
"Afgasset","Brd Thorsen",18.625,2,4.93038266939431,NA
"Afgasset","Brd Thorsen",18.75,2,4.85726410691565,NA
"Afgasset","Brd Thorsen",18.875,2,4.78244486686079,NA
"Afgasset","Brd Thorsen",19,2,4.7055713108202,NA
"Afgasset","Brd Thorsen",19.125,2,4.62628980038431,NA
"Afgasset","Fangel",0,2,8.125,39.0704913229231
"Afgasset","Fangel",0.125,2,8.09428327722774,40.3826221938182
"Afgasset","Fangel",0.25,2,8.06413398303984,41.1240519769651
"Afgasset","Fangel",0.375,2,8.03418157943622,41.3488936880931
"Afgasset","Fangel",0.5,2,8.00405552841682,41.1112603429314
"Afgasset","Fangel",0.625,2,7.97338529198155,40.4652649572092
"Afgasset","Fangel",0.75,2,7.94179763917623,39.4648699660443
"Afgasset","Fangel",0.875,2,7.90861089759725,38.1495177915931
"Afgasset","Fangel",1,2,7.87255156842836,36.5322496856498
"Afgasset","Fangel",1.125,2,7.83227900016584,34.6233104097554
"Afgasset","Fangel",1.25,2,7.78645254130599,32.4329447254506
"Afgasset","Fangel",1.375,2,7.73373154034509,29.9713973942766
"Afgasset","Fangel",1.5,2,7.67288306394454,27.256087897085
"Afgasset","Fangel",1.625,2,7.60502277339617,24.4451129210282
"Afgasset","Fangel",1.75,2,7.53356330045582,21.8255861403816
"Afgasset","Fangel",1.875,2,7.46201456113797,19.6894510449742
"Afgasset","Fangel",2,2,7.39388647145712,18.3286511246347
"Afgasset","Fangel",2.125,2,7.33268894742776,18.0351298691922
"Afgasset","Fangel",2.25,2,7.28153368625276,19.0618803402666
"Afgasset","Fangel",2.375,2,7.24018741296444,21.3406510101437
"Afgasset","Fangel",2.5,2,7.20671737382793,24.6423226764857
"Afgasset","Fangel",2.625,2,7.17917612321224,28.7364439420634
"Afgasset","Fangel",2.75,2,7.15561621548639,33.3925634096474
"Afgasset","Fangel",2.875,2,7.13409025951401,38.3802096116389
"Afgasset","Fangel",3,2,7.11296813651874,43.4438543136097
"Afgasset","Fangel",3.125,2,7.09192843604817,48.2592759457222
"Afgasset","Fangel",3.25,2,7.07099526910445,52.4912674449945
"Afgasset","Fangel",3.375,2,7.05019276308309,55.8046220495597
"Afgasset","Fangel",3.5,2,7.02954504537958,57.8641329975504
"Afgasset","Fangel",3.625,2,7.00908002797434,58.3421525459067
"Afgasset","Fangel",3.75,2,6.98898906422185,57.4609449099701
"Afgasset","Fangel",3.875,2,6.96967932202328,56.4237929312922
"Afgasset","Fangel",4,2,6.95157191725965,56.5414501220622
"Afgasset","Fangel",4.125,2,6.93508796581202,59.1246699944696
"Afgasset","Fangel",4.25,2,6.92064858356143,65.4842060607037
"Afgasset","Fangel",4.375,2,6.90864243507906,76.8381509145268
"Afgasset","Fangel",4.5,2,6.8989366219436,92.6478855391851
"Afgasset","Fangel",4.625,2,6.89094970537661,110.693009637727
"Afgasset","Fangel",4.75,2,6.88408330340071,128.677387079402
"Afgasset","Fangel",4.875,2,6.87773903403854,144.304881733461
"Afgasset","Fangel",5,2,6.87131851531274,155.279357469152
"Afgasset","Fangel",5.125,2,6.86431074920311,159.735070350831
"Afgasset","Fangel",5.25,2,6.85681483536426,159.22364263755
"Afgasset","Fangel",5.375,2,6.84921630334772,157.07092383637
"Afgasset","Fangel",5.5,2,6.8419035596328,156.624030249558
"Afgasset","Fangel",5.625,2,6.83526501069881,161.23007817938
"Afgasset","Fangel",5.75,2,6.82968851066648,174.232747456969
"Afgasset","Fangel",5.875,2,6.82535948104154,197.35753039819
"Afgasset","Fangel",6,2,6.82179581785746,226.357544245768
"Afgasset","Fangel",6.125,2,6.81835631450168,255.420695639658
