"","app.timing","app.mthd","man.source","incorp","t.incorp","app.timing.dk","air.temp","wind.2m","rain.rate","app.rate.ni","man.name","acid","man.dm","man.ph","man.source.pig","app.mthd.os","app.mthd.cs","incorp.deep","incorp.shallow","ct","tan.app","id","EF","EFp","id.report","EFp.report"
"71","March","Trailing hose","Cattle","Deep",4,"Marts",4.9,4.025,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,36,0.031,3.1,"181-2010",1.5
"72","March","Trailing hose","Cattle","None",NA,"Marts",4.9,4.025,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,26,0.22,22,"186-2010",14
"73","March","Trailing hose","Cattle","None",NA,"Marts",4.9,4.025,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,26,0.22,22,"120-2010",9.6
"74","March","Trailing hose","Cattle","None",NA,"Marts",4.9,4.025,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,26,0.22,22,"199-2010",14
"75","March","Trailing hose","Cattle","None",NA,"Marts",4.9,4.025,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,26,0.22,22,"133-2010",9.6
"76","March","Trailing hose","Cattle","None",NA,"Marts",4.9,4.025,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,26,0.22,22,"017-2010",22
"77","March","Trailing hose","Cattle","Shallow",4,"Marts",4.9,4.025,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,31,0.081,8.1,"347-2010",4.7
"78","March","Trailing hose","Cattle","Shallow",4,"Marts",4.9,4.025,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,31,0.081,8.1,"307-2010",3.1
"79","March","Trailing hose","Cattle","Shallow",4,"Marts",4.9,4.025,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,31,0.081,8.1,"247-2010",8.1
"80","March","Trailing hose","Digestate","Deep",4,"Marts",4.9,4.025,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,61,0.087,8.7,"086-2010",8.7
"81","March","Trailing hose","Digestate","None",NA,"Marts",4.9,4.025,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,51,0.28,28,"091-2010",28
"82","March","Trailing hose","Digestate","Shallow",4,"Marts",4.9,4.025,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,56,0.14,14,"287-2010",14
"83","March","Trailing hose","Pig","Deep",4,"Marts",4.9,4.025,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,11,0.024,2.4,"148-2010",0.68
"84","March","Trailing hose","Pig","Deep",4,"Marts",4.9,4.025,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,11,0.024,2.4,"214-2010",1
"85","March","Trailing hose","Pig","Deep",4,"Marts",4.9,4.025,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,11,0.024,2.4,"049-2010",2.4
"86","March","Trailing hose","Pig","None",NA,"Marts",4.9,4.025,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,1,0.14,14,"166-2010",7
"87","March","Trailing hose","Pig","None",NA,"Marts",4.9,4.025,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,1,0.14,14,"219-2010",9.2
"88","March","Trailing hose","Pig","None",NA,"Marts",4.9,4.025,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,1,0.14,14,"054-2010",14
"89","March","Trailing hose","Pig","None",NA,"Marts",4.9,4.025,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,1,0.14,14,"153-2010",7
"90","March","Trailing hose","Pig","None",NA,"Marts",4.9,4.025,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,1,0.14,14,"232-2010",9.2
"91","March","Trailing hose","Pig","Shallow",4,"Marts",4.9,4.025,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,6,0.053,5.3,"367-2010",3
"92","March","Trailing hose","Pig","Shallow",4,"Marts",4.9,4.025,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,6,0.053,5.3,"267-2010",5.3
"93","March","Trailing hose","Pig","Shallow",4,"Marts",4.9,4.025,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,6,0.053,5.3,"327-2010",2.2
"94","May","Trailing hose","Cattle","None",NA,"Maj",12.4,3.565,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,28,0.3,30,"122-2010",17
"95","May","Trailing hose","Cattle","None",NA,"Maj",12.4,3.565,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,28,0.3,30,"019-2010",30
"96","May","Trailing hose","Cattle","None",NA,"Maj",12.4,3.565,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,28,0.3,30,"188-2010",22
"97","May","Trailing hose","Digestate","None",NA,"Maj",12.4,3.565,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,53,0.3,30,"093-2010",30
"98","May","Trailing hose","Pig","None",NA,"Maj",12.4,3.565,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,3,0.15,15,"221-2010",11
"99","May","Trailing hose","Pig","None",NA,"Maj",12.4,3.565,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,3,0.15,15,"056-2010",15
"100","May","Trailing hose","Pig","None",NA,"Maj",12.4,3.565,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,3,0.15,15,"155-2010",9.3
"101","Summer","Trailing hose","Cattle","Deep",4,"Sommer",16.867,3.18167,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,39,0.11,11,"024-2010",11
"102","Summer","Trailing hose","Cattle","Deep",4,"Sommer",16.867,3.18167,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,39,0.11,11,"193-2010",5.6
"103","Summer","Trailing hose","Cattle","Deep",4,"Sommer",16.867,3.18167,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,39,0.11,11,"127-2010",3.3
"104","Summer","Trailing hose","Cattle","None",NA,"Sommer",16.867,3.18167,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,29,0.33,33,"189-2010",27
"105","Summer","Trailing hose","Cattle","None",NA,"Sommer",16.867,3.18167,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,29,0.33,33,"123-2010",22
"106","Summer","Trailing hose","Cattle","None",NA,"Sommer",16.867,3.18167,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,29,0.33,33,"020-2010",33
"107","Summer","Trailing hose","Cattle","None",NA,"Sommer",16.867,3.18167,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,29,0.33,33,"201-2010",27
"108","Summer","Trailing hose","Cattle","None",NA,"Sommer",16.867,3.18167,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,29,0.33,33,"135-2010",22
"109","Summer","Trailing hose","Cattle","Shallow",4,"Sommer",16.867,3.18167,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,34,0.17,17,"355-2010",11
"110","Summer","Trailing hose","Cattle","Shallow",4,"Sommer",16.867,3.18167,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,34,0.17,17,"255-2010",17
"111","Summer","Trailing hose","Cattle","Shallow",4,"Sommer",16.867,3.18167,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,34,0.17,17,"315-2010",8.1
"112","Summer","Trailing hose","Digestate","Deep",4,"Sommer",16.867,3.18167,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,64,0.2,20,"098-2010",20
"113","Summer","Trailing hose","Digestate","None",NA,"Sommer",16.867,3.18167,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,54,0.3,30,"094-2010",30
"114","Summer","Trailing hose","Digestate","Shallow",4,"Sommer",16.867,3.18167,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,59,0.23,23,"295-2010",23
"115","Summer","Trailing hose","Pig","Deep",4,"Sommer",16.867,3.18167,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,14,0.067,6.7,"160-2010",2
"116","Summer","Trailing hose","Pig","Deep",4,"Sommer",16.867,3.18167,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,14,0.067,6.7,"226-2010",3.1
"117","Summer","Trailing hose","Pig","Deep",4,"Sommer",16.867,3.18167,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,14,0.067,6.7,"061-2010",6.7
"118","Summer","Trailing hose","Pig","None",NA,"Sommer",16.867,3.18167,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,4,0.16,16,"222-2010",12
"119","Summer","Trailing hose","Pig","None",NA,"Sommer",16.867,3.18167,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,4,0.16,16,"168-2010",10
"120","Summer","Trailing hose","Pig","None",NA,"Sommer",16.867,3.18167,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,4,0.16,16,"057-2010",16
"121","Summer","Trailing hose","Pig","None",NA,"Sommer",16.867,3.18167,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,4,0.16,16,"156-2010",10
"122","Summer","Trailing hose","Pig","None",NA,"Sommer",16.867,3.18167,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,4,0.16,16,"234-2010",12
"123","Summer","Trailing hose","Pig","Shallow",4,"Sommer",16.867,3.18167,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,9,0.088,8.8,"375-2010",5.3
