PLANNR,LBNR,MGD,,DATO/DATE,Antal/Number,TOERSTOF/Dry matter,N (Total-N),PH,P,K,CU,C,NH4-N,LNIR_NH4N,LSNBET,,,,,,,,,,
070100909,001,8.5,,4/8/2009,,26.33,8.58,7.56,7.11,1.58,,91.60,3.16,,"Fiberfraktion, overdækket",,,,,,,,,,
070100909,002,8.5,,3/30/2009,,30.41,7.60,7.43,6.08,1.55,,87.00,2.92,,"Fiberfraktion, overdækket",,,,,,,,,,
070381010,002,8,,9/16/2009,,92.71,16.78,7.84,23.18,3.99,148.34,363.00,0.93,,"Fiberfraktion, pelleret",,,,,,,,,,
070381010,001,8.655,,9/21/2009,,96.74,17.12,,26.12,4.16,0.16,,1.26,,"Fiberfraktion, pelleret",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
070079797,007,20,,5/15/1997,,1.70,3.22,7.00,0.46,2.66,,,2.63,,Gylle,,,,,,,,,,
031141517,001,15,,4/5/2017,,1.86,2.10,,0.22,2.60,,,1.55,,Gylle,,,,,,,,,,
070250909,002,26,,4/6/2009,,1.86,2.48,7.69,0.41,1.28,,,2.10,,Gylle,,,,,,,,,,
070241515,002,,,3/25/2015,,1.90,2.91,,0.13,1.90,,,2.20,,Gylle,,,,,,,,,,
070241616,001,,,4/20/2016,,1.93,3.55,,0.33,2.32,,,3.01,,Gylle,,,,,,,,,,
070241616,001,,,,,1.93,3.55,,0.33,2.32,,,3.01,,Gylle,,,,,,,,,,
070241616,001,,,,,1.93,3.55,,0.33,2.32,,,3.01,,Gylle,,,,,,,,,,
030111717,005,80,,4/4/2017,,2.07,1.99,,0.21,1.80,,,1.40,,Gylle,,,,,,,,,,
070241313,003,30,,4/23/2013,,2.20,2.06,5.62,0.51,1.03,,,1.62,,Gylle,,,,,,,,,,
070241313,006,25,,4/18/2013,,2.20,3.39,6.89,0.22,2.64,,,2.81,,Gylle,,,,,,,,,,
070241313,003,30,,4/23/2013,,2.39,2.38,6.47,0.45,0.96,,,1.69,,Gylle,,,,,,,,,,
070120909,002,35,,4/16/2009,,2.73,4.52,7.97,0.63,2.46,,,3.53,,Gylle,,,,,,,,,,
070241414,001,,,,,2.82,4.24,7.50,0.28,1.89,,,3.30,,Gylle,,,,,,,,,,
070241414,001,,,,,2.82,4.24,7.50,0.28,1.89,,,3.30,,Gylle,,,,,,,,,,
070241414,001,,,,,2.82,4.24,7.50,0.28,1.89,,,3.30,,Gylle,,,,,,,,,,
070241414,001,,,,,2.82,4.24,7.50,0.28,1.89,,,3.30,,Gylle,,,,,,,,,,
070241414,001,,,3/18/2014,,2.82,4.24,7.50,0.28,1.89,,,3.30,,Gylle,,,,,,,,,,
070241414,001,,,,,2.82,4.24,7.50,0.28,1.89,,,3.30,,Gylle,,,,,,,,,,
030141313,004,35,,4/18/2013,,2.84,3.78,,0.74,1.96,,,2.75,,Gylle,,,,,,,,,,
070241313,003,30,,4/23/2013,,2.88,3.49,6.12,0.43,1.04,,,2.99,,Gylle,,,,,,,,,,
070241313,006,25,,4/18/2013,,2.88,3.66,7.34,0.17,2.68,,,2.82,,Gylle,,,,,,,,,,
070120909,003,35,,4/16/2009,,2.90,4.70,7.82,0.81,2.41,,,3.64,,Gylle,,,,,,,,,,
070241313,003,30,,4/23/2013,,2.91,2.08,,0.52,0.96,,,1.63,,Gylle,,,,,,,,,,
070241313,003,30,,4/23/2013,,2.96,2.59,7.39,0.56,0.92,,,1.74,,Gylle,,,,,,,,,,
070120909,001,33,,4/2/2009,,2.97,3.14,6.99,0.59,1.28,,,2.38,,Gylle,,,,,,,,,,
070350909,004,20,,4/28/2009,,3.00,4.70,,0.60,2.40,,,3.80,,Gylle,,,,,,,,,,
070241616,002,,,,,3.05,3.58,,0.61,2.29,,,2.55,,Gylle,,,,,,,,,,
070241616,002,,,4/20/2016,,3.05,3.58,,0.61,2.29,,,2.55,,Gylle,,,,,,,,,,
070241616,002,,,,,3.05,3.58,,0.61,2.29,,,2.55,,Gylle,,,,,,,,,,
070241616,002,,,,,3.05,3.58,,0.61,2.29,,,2.55,,Gylle,,,,,,,,,,
070241313,003,30,,,,3.08,2.81,6.08,0.55,1.11,,,2.15,,Gylle,,,,,,,,,,
070241313,006,25,,4/18/2013,,3.18,3.66,6.64,0.57,2.48,,,2.81,,Gylle,,,,,,,,,,
030271011,003,27.1,,5/15/2011,,3.21,2.41,7.27,0.83,1.86,,12.00,2.74,,Gylle,,,,,,,,,,
030271011,003,27.1,,,,3.21,2.41,7.27,0.83,1.86,,12.00,2.74,,Gylle,,,,,,,,,,
030271011,003,27.1,,,,3.21,2.41,7.27,0.83,1.86,,12.00,2.74,,Gylle,,,,,,,,,,
030271011,003,27.1,,,,3.21,2.41,7.27,0.83,1.86,,12.00,2.74,,Gylle,,,,,,,,,,
030271011,003,27.1,,,,3.21,2.41,7.27,0.83,1.86,,12.00,2.74,,Gylle,,,,,,,,,,
030271011,003,27.1,,,,3.21,2.41,7.27,0.83,1.86,,12.00,2.74,,Gylle,,,,,,,,,,
030271011,003,27.1,,,,3.21,2.41,7.27,0.83,1.86,,12.00,2.74,,Gylle,,,,,,,,,,
070801818,001,,,8/1/2017,,3.21,4.01,,0.67,2.89,,,2.64,,Gylle,,,,,,,,,,
031201313,003,35,,2/14/2013,,3.25,,,,,,,,2.32,Gylle,,,,,,,,,,
070241313,004,25,,4/18/2013,,3.32,3.63,6.01,0.76,1.83,,,2.67,,Gylle,,,,,,,,,,
070801818,002,,,8/1/2017,,3.37,3.97,,0.78,2.70,,,2.83,,Gylle,,,,,,,,,,
031201616,002,70,,4/23/2016,,3.43,1.48,,0.34,2.09,,,1.38,,Gylle,,,,,,,,,,
070801818,001,,,,,3.43,3.85,,0.93,2.40,,,2.92,,Gylle,,,,,,,,,,
070801818,001,,,,,3.43,3.85,,0.93,2.40,,,2.92,,Gylle,,,,,,,,,,
070801818,001,,,,,3.43,3.85,,0.93,2.40,,,2.92,,Gylle,,,,,,,,,,
070801818,001,,,1/1/2017,,3.43,3.85,,0.93,2.40,,,2.92,,Gylle,,,,,,,,,,
030061414,001,55,,3/20/2014,,3.44,0.63,,0.08,0.41,,,,,Gylle,,,,,,,,,,
070430909,001,27,,3/30/2009,,3.44,2.61,7.40,0.79,1.24,,,2.36,,Gylle,,,,,,,,,,
070350909,001,35,,3/6/2009,,3.47,4.70,6.92,0.62,1.46,,,3.01,,Gylle,,,,,,,,,,
070209797,002,30,,5/12/1997,,3.50,4.92,,1.05,2.70,,,3.92,,Gylle,,,,,,,,,,
070241616,001,,,3/29/2016,,3.50,3.97,,0.50,2.30,,,2.90,,Gylle,,,,,,,,,,
070241616,001,,,,,3.50,3.97,,0.50,2.30,,,2.90,,Gylle,,,,,,,,,,
030270909,003,25,,3/2/2009,,3.53,2.04,,0.35,2.15,,26.70,1.32,,Gylle,,,,,,,,,,
030270909,003,25,,,,3.53,2.04,,0.35,2.15,,26.70,1.32,,Gylle,,,,,,,,,,
030270909,003,25,,,,3.53,2.04,,0.35,2.15,,26.70,1.32,,Gylle,,,,,,,,,,
070241313,006,25,,4/23/2013,,3.53,3.64,5.88,0.71,2.65,,,2.85,,Gylle,,,,,,,,,,
070241313,004,25,,4/6/2013,,3.70,3.87,7.08,0.96,1.85,,,2.83,,Gylle,,,,,,,,,,
070241313,004,25,,4/18/2013,,3.81,3.62,5.97,0.91,1.83,,,2.73,,Gylle,,,,,,,,,,
070250909,001,24,,4/2/2009,,3.99,3.73,7.04,0.80,1.68,,,3.17,,Gylle,,,,,,,,,,
030181515,001,,,,,4.06,3.83,7.61,0.45,3.00,,,2.74,,Gylle,,,,,,,,,,
070241313,004,25,,4/18/2013,,4.14,3.60,5.07,1.08,1.82,,,2.73,,Gylle,,,,,,,,,,
030270909,001,25,,,,4.17,1.96,,0.38,1.79,,21.00,1.06,,Gylle,,,,,,,,,,
030270909,001,25,,,,4.17,1.96,,0.38,1.79,,21.00,1.06,,Gylle,,,,,,,,,,
030270909,001,25,,,,4.17,1.96,,0.38,1.79,,21.00,1.06,,Gylle,,,,,,,,,,
030270909,001,25,,6/2/2009,,4.17,1.96,,0.38,1.79,,21.00,1.06,,Gylle,,,,,,,,,,
030270909,001,25,,,,4.17,1.96,,0.38,1.79,,21.00,1.06,,Gylle,,,,,,,,,,
030270909,001,25,,,,4.17,1.96,,0.38,1.79,,21.00,1.06,,Gylle,,,,,,,,,,
030270910,001,25,,4/12/2010,,4.24,2.24,6.80,0.41,2.20,,20.10,1.28,,Gylle,,,,,,,,,,
030270910,001,25,,,,4.24,2.24,6.80,0.41,2.20,,20.10,1.28,,Gylle,,,,,,,,,,
030270910,001,25,,,,4.24,2.24,6.80,0.41,2.20,,20.10,1.28,,Gylle,,,,,,,,,,
030270910,001,25,,,,4.24,2.24,6.80,0.41,2.20,,20.10,1.28,,Gylle,,,,,,,,,,
030270910,001,25,,,,4.24,2.24,6.80,0.41,2.20,,20.10,1.28,,Gylle,,,,,,,,,,
030081515,002,65,,4/18/2015,,4.27,2.97,,,,,,1.79,,Gylle,,,,,,,,,,
030371515,001,65,,4/18/2015,,4.27,2.97,,,,,,1.79,,Gylle,,,,,,,,,,
031201515,003,65,,4/10/2015,,4.27,2.97,,,,,,1.79,,Gylle,,,,,,,,,,
030270910,002,27.1,,,,4.30,3.26,6.86,0.40,1.81,,25.00,2.11,,Gylle,,,,,,,,,,
030270910,002,27.1,,6/10/2010,,4.30,3.26,6.86,0.40,1.81,,25.00,2.11,,Gylle,,,,,,,,,,
030270910,002,27.1,,,,4.30,3.26,6.86,0.40,1.81,,25.00,2.11,,Gylle,,,,,,,,,,
030270910,002,27.1,,,,4.30,3.26,6.86,0.40,1.81,,25.00,2.11,,Gylle,,,,,,,,,,
030270910,002,27.1,,,,4.30,3.26,6.86,0.40,1.81,,25.00,2.11,,Gylle,,,,,,,,,,
070241313,004,25,,4/18/2013,,4.49,4.79,6.54,1.08,1.84,,,3.73,,Gylle,,,,,,,,,,
031191616,001,55,,4/25/2016,,4.54,2.82,,0.50,2.18,,,1.59,,Gylle,,,,,,,,,,
030141717,003,65,,1/1/2017,,4.66,2.70,,0.43,2.42,,,1.58,,Gylle,,,,,,,,,,
030111717,002,65,,1/1/2017,,4.70,2.84,,0.43,2.40,,,1.60,,Gylle,,,,,,,,,,
030271011,001,31.4,,,,4.83,1.90,7.45,0.30,2.27,,21.00,1.04,,Gylle,,,,,,,,,,
030271011,001,31.4,,,,4.83,1.90,7.45,0.30,2.27,,21.00,1.04,,Gylle,,,,,,,,,,
030271011,001,31.4,,5/31/2011,,4.83,1.90,7.45,0.30,2.27,,21.00,1.04,,Gylle,,,,,,,,,,
030271011,001,31.4,,,,4.83,1.90,7.45,0.30,2.27,,21.00,1.04,,Gylle,,,,,,,,,,
030271011,001,31.4,,,,4.83,1.90,7.45,0.30,2.27,,21.00,1.04,,Gylle,,,,,,,,,,
030271011,001,31.4,,,,4.83,1.90,7.45,0.30,2.27,,21.00,1.04,,Gylle,,,,,,,,,,
030271012,001,27.1,,,,4.92,2.82,6.84,0.36,2.66,,2.12,1.70,,Gylle,,,,,,,,,,
030271012,001,27.1,,,,4.92,2.82,6.84,0.36,2.66,,2.12,1.70,,Gylle,,,,,,,,,,
030271012,001,27.1,,,,4.92,2.82,6.84,0.36,2.66,,2.12,1.70,,Gylle,,,,,,,,,,
030271012,001,27.1,,,,4.92,2.82,6.84,0.36,2.66,,2.12,1.70,,Gylle,,,,,,,,,,
030271012,001,27.1,,3/9/2012,,4.92,2.82,6.84,0.36,2.66,,2.12,1.70,,Gylle,,,,,,,,,,
030271012,001,27.1,,,,4.92,2.82,6.84,0.36,2.66,,2.12,1.70,,Gylle,,,,,,,,,,
070079797,006,31,,4/10/1997,,4.93,6.80,6.84,0.94,3.91,,,4.80,,Gylle,,,,,,,,,,
031201515,001,40,,4/15/2015,,5.14,2.52,,0.34,2.42,,,1.50,,Gylle,,,,,,,,,,
030141717,004,35,,5/8/2017,,5.22,3.88,,1.41,4.38,,,3.00,,Gylle,,,,,,,,,,
030270909,001,25,,,,5.29,1.79,,0.35,1.53,,24.80,0.87,,Gylle,,,,,,,,,,
030270909,001,25,,,,5.29,1.79,,0.35,1.53,,24.80,0.87,,Gylle,,,,,,,,,,
030270909,001,25,,4/15/2009,,5.29,1.79,,0.35,1.53,,24.80,0.87,,Gylle,,,,,,,,,,
030270909,001,25,,,,5.29,1.79,,0.35,1.53,,24.80,0.87,,Gylle,,,,,,,,,,
030271012,003,25,,,,5.30,3.13,7.08,0.40,2.23,,2.39,1.92,,Gylle,,,,,,,,,,
030271012,003,25,,,,5.30,3.13,7.08,0.40,2.23,,2.39,1.92,,Gylle,,,,,,,,,,
030271012,003,25,,,,5.30,3.13,7.08,0.40,2.23,,2.39,1.92,,Gylle,,,,,,,,,,
030271012,003,25,,,,5.30,3.13,7.08,0.40,2.23,,2.39,1.92,,Gylle,,,,,,,,,,
030271012,003,25,,3/22/2012,,5.30,3.13,7.08,0.40,2.23,,2.39,1.92,,Gylle,,,,,,,,,,
030271012,003,25,,,,5.30,3.13,7.08,0.40,2.23,,2.39,1.92,,Gylle,,,,,,,,,,
070241313,004,25,,4/18/2013,,5.41,5.35,6.47,0.97,1.68,,,4.29,,Gylle,,,,,,,,,,
070481212,002,50,,4/27/2012,,5.68,2.73,,0.47,1.99,,,1.43,,Gylle,,,,,,,,,,
030270910,003,27,,3/11/2010,,5.69,2.85,,,,,,1.52,,Gylle,,,,,,,,,,
030270910,003,25,,,,5.69,2.85,,,,,,1.52,,Gylle,,,,,,,,,,
030270910,003,25,,,,5.69,2.85,,,,,,1.52,,Gylle,,,,,,,,,,
030270910,003,27,,,,5.69,2.85,,,,,,1.52,,Gylle,,,,,,,,,,
030270910,003,27,,,,5.69,2.85,,,,,,1.52,,Gylle,,,,,,,,,,
030270910,003,25,,,,5.69,2.85,,,,,,1.52,,Gylle,,,,,,,,,,
030270910,003,27,,,,5.69,2.85,,,,,,1.52,,Gylle,,,,,,,,,,
030270910,003,25,,,,5.69,2.85,,,,,,1.52,,Gylle,,,,,,,,,,
030270910,003,25,,,,5.69,2.85,,,,,,1.52,,Gylle,,,,,,,,,,
030270910,003,27,,,,5.69,2.85,,,,,,1.52,,Gylle,,,,,,,,,,
031201515,004,45,,1/1/2015,,5.69,3.14,,0.43,2.22,,,1.90,,Gylle,,,,,,,,,,
030271011,001,31.4,,3/29/2011,,5.70,4.45,7.15,0.35,2.62,,26.40,1.18,,Gylle,,,,,,,,,,
030271011,001,31.4,,,,5.70,4.45,7.15,0.35,2.62,,26.40,1.18,,Gylle,,,,,,,,,,
030271011,001,31.4,,,,5.70,4.45,7.15,0.35,2.62,,26.40,1.18,,Gylle,,,,,,,,,,
030271011,001,31.4,,,,5.70,4.45,7.15,0.35,2.62,,26.40,1.18,,Gylle,,,,,,,,,,
030271011,001,31.4,,,,5.70,4.45,7.15,0.35,2.62,,26.40,1.18,,Gylle,,,,,,,,,,
030271011,001,31.4,,,,5.70,4.45,7.15,0.35,2.62,,26.40,1.18,,Gylle,,,,,,,,,,
070169797,003,35,,4/17/1997,,5.70,4.79,6.58,0.79,3.36,,,3.19,,Gylle,,,,,,,,,,
030271012,001,41.4,,,,5.77,2.64,6.97,0.44,3.69,,2.02,1.46,,Gylle,,,,,,,,,,
030271012,001,41.4,,,,5.77,2.64,6.97,0.44,3.69,,2.02,1.46,,Gylle,,,,,,,,,,
030271012,001,41.4,,,,5.77,2.64,6.97,0.44,3.69,,2.02,1.46,,Gylle,,,,,,,,,,
030271012,001,41.4,,5/31/2012,,5.77,2.64,6.97,0.44,3.69,,2.02,1.46,,Gylle,,,,,,,,,,
030271012,001,41.4,,,,5.77,2.64,6.97,0.44,3.69,,2.02,1.46,,Gylle,,,,,,,,,,
030271012,001,41.4,,,,5.77,2.64,6.97,0.44,3.69,,2.02,1.46,,Gylle,,,,,,,,,,
030111717,001,,,4/12/2017,,5.88,3.38,,0.59,3.12,,,2.08,,Gylle,,,,,,,,,,
030270911,001,25,,,,5.88,3.03,7.25,0.44,2.82,,25.00,1.79,,Gylle,,,,,,,,,,
030270911,001,25,,,,5.88,3.03,7.25,0.44,2.82,,25.00,1.79,,Gylle,,,,,,,,,,
030270911,001,25,,,,5.88,3.03,7.25,0.44,2.82,,25.00,1.79,,Gylle,,,,,,,,,,
030270911,001,25,,6/8/2011,,5.88,3.03,7.25,0.44,2.82,,25.00,1.79,,Gylle,,,,,,,,,,
070241313,002,25,,5/6/2013,,6.02,4.21,7.46,1.32,1.93,,,2.83,,Gylle,,,,,,,,,,
070241313,001,25,,5/6/2013,,6.06,4.21,6.97,1.15,2.00,,,2.80,,Gylle,,,,,,,,,,
030270909,002,27,,3/20/2009,,6.09,2.92,,0.53,2.50,,30.40,1.78,,Gylle,,,,,,,,,,
030270909,002,27,,,,6.09,2.92,,0.53,2.50,,30.40,1.78,,Gylle,,,,,,,,,,
030270909,002,27,,,,6.09,2.92,,0.53,2.50,,30.40,1.78,,Gylle,,,,,,,,,,
030270909,002,27,,,,6.09,2.92,,0.53,2.50,,30.40,1.78,,Gylle,,,,,,,,,,
070079797,004,24,,,,6.20,4.92,6.70,1.22,2.67,,,3.92,,Gylle,,,,,,,,,,
030270909,002,27,,,,6.21,2.92,,0.58,2.30,,29.80,1.91,,Gylle,,,,,,,,,,
030270909,002,27,,,,6.21,2.92,,0.58,2.30,,29.80,1.91,,Gylle,,,,,,,,,,
030270909,002,27,,5/27/2009,,6.21,2.92,,0.58,2.30,,29.80,1.91,,Gylle,,,,,,,,,,
030270909,002,27,,,,6.21,2.92,,0.58,2.30,,29.80,1.91,,Gylle,,,,,,,,,,
030270909,002,27,,,,6.21,2.92,,0.58,2.30,,29.80,1.91,,Gylle,,,,,,,,,,
030270909,002,27,,,,6.21,2.92,,0.58,2.30,,29.80,1.91,,Gylle,,,,,,,,,,
030111616,004,45,,4/27/2016,,6.25,3.72,,0.69,2.63,,,2.18,,Gylle,,,,,,,,,,
030271011,003,27.1,,,,6.26,3.26,6.83,0.53,2.75,,32.50,2.05,,Gylle,,,,,,,,,,
030271011,003,27.1,,,,6.26,3.26,6.83,0.53,2.75,,32.50,2.05,,Gylle,,,,,,,,,,
030271011,003,27.1,,,,6.26,3.26,6.83,0.53,2.75,,32.50,2.05,,Gylle,,,,,,,,,,
030271011,003,27.1,,3/28/2011,,6.26,3.26,6.83,0.53,2.75,,32.50,2.05,,Gylle,,,,,,,,,,
030271011,003,27.1,,,,6.26,3.26,6.83,0.53,2.75,,32.50,2.05,,Gylle,,,,,,,,,,
030270910,002,27.1,,3/25/2010,,6.48,3.02,6.62,0.48,2.59,,30.00,1.62,,Gylle,,,,,,,,,,
030270910,002,27.1,,,,6.48,3.02,6.62,0.48,2.59,,30.00,1.62,,Gylle,,,,,,,,,,
030270910,002,27.1,,,,6.48,3.02,6.62,0.48,2.59,,30.00,1.62,,Gylle,,,,,,,,,,
030270910,002,27.1,,,,6.48,3.02,6.62,0.48,2.59,,30.00,1.62,,Gylle,,,,,,,,,,
030270910,002,27.1,,,,6.48,3.02,6.62,0.48,2.59,,30.00,1.62,,Gylle,,,,,,,,,,
031201414,004,,,4/15/2014,,6.61,3.40,,0.56,2.38,,,1.92,,Gylle,,,,,,,,,,
031201515,002,50,,1/1/2015,,6.61,3.43,,0.38,1.92,,,2.04,,Gylle,,,,,,,,,,
070241313,001,25,,5/6/2013,,6.64,4.22,6.74,1.39,1.99,,,2.81,,Gylle,,,,,,,,,,
030361313,003,25,,4/29/2013,,6.70,3.25,,0.54,2.75,,,1.87,,Gylle,,,,,,,,,,
070169797,005,27,,,,6.70,4.57,6.70,0.83,4.17,,,2.88,,Gylle,,,,,,,,,,
030061414,002,35,,4/25/2014,,6.98,3.76,,0.51,2.51,,,2.35,,Gylle,,,,,,,,,,
070241313,002,25,,5/6/2013,,6.98,4.14,7.00,1.33,1.95,,,2.89,,Gylle,,,,,,,,,,
070241313,002,25,,5/6/2013,,7.07,4.21,6.41,1.20,1.91,,,2.85,,Gylle,,,,,,,,,,
070241414,002,,,3/24/2014,,7.12,3.66,6.54,0.49,1.99,,,2.05,,Gylle,,,,,,,,,,
070241414,002,,,,,7.12,3.66,6.54,0.49,1.99,,,2.05,,Gylle,,,,,,,,,,
070241414,002,,,,,7.12,3.66,6.54,0.49,1.99,,,2.05,,Gylle,,,,,,,,,,
070241414,002,,,,,7.12,3.66,6.54,0.49,1.99,,,2.05,,Gylle,,,,,,,,,,
070241414,002,,,,,7.12,3.66,6.54,0.49,1.99,,,2.05,,Gylle,,,,,,,,,,
