"","ID","Ref","Year","Country","Place","AirTemperature","Rainfall","irrigation","SoilType","Clay","SoilpH","SoilCEC","Crop","FertiliserType","Application","Method","WaterPerDay","NH3loss","SD","Reps","Application.rate","Duration","SOC","Rain.72h","Wind.7d","Temp.7d","Residues","chk","NBPT.dose","NBPT.NH3loss","NBPT.dose.1","NBPT.NH3loss.1","NBPT.dose.2","NBPT.NH3loss.2","NBPT.dose.3","NBPT.NH3loss.3","NBPT.dose.4","NBPT.NH3loss.4","inhibitor","inhibitor.NH3.loss","inhibitor.dose","Notes","Fertiliser"
"41",41,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",22,7.95,12.7,"None","zUrea","Incorporated","Ventilated chambers",NA,1,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"42",42,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",22,7.95,12.7,"None","zUrea","Incorporated","Ventilated chambers",NA,1.2,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"43",43,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",22,7.95,12.7,"None","zUrea","Incorporated","Ventilated chambers",NA,1.5,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"44",44,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",22,7.95,12.7,"None","zUrea","Liquid","Ventilated chambers",NA,2.3,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"45",45,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",22,7.95,12.7,"None","zUrea","Liquid","Ventilated chambers",NA,2.4,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"46",46,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",22,7.95,12.7,"None","zUrea","Liquid","Ventilated chambers",NA,3.4,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"47",47,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",18,8.1,11.3,"None","zUrea","Broadcast","Ventilated chambers",NA,4,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"48",48,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",18,8.1,11.3,"None","zUrea","Broadcast","Ventilated chambers",NA,6.8,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"49",49,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",18,8.1,11.3,"None","zUrea","Broadcast","Ventilated chambers",NA,12,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"50",50,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",18,8.1,11.3,"None","zUrea","Incorporated","Ventilated chambers",NA,0.2,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"51",51,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",18,8.1,11.3,"None","zUrea","Incorporated","Ventilated chambers",NA,0.2,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"52",52,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",18,8.1,11.3,"None","zUrea","Incorporated","Ventilated chambers",NA,0.3,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"53",53,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",18,8.1,11.3,"None","zUrea","Liquid","Ventilated chambers",NA,1.8,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"54",54,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",18,8.1,11.3,"None","zUrea","Liquid","Ventilated chambers",NA,2.3,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"55",55,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",18,8.1,11.3,"None","zUrea","Liquid","Ventilated chambers",NA,3.2,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"80",80,"Ahmed et al 2010",2010,"Malaysia","Lab",NA,NA,NA,"Sandy clay loam",27,4.11,7.33,"None","zUrea","Incorporated","Ventilated chambers",NA,42.9,NA,3,NA,13,6,NA,NA,NA,"n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"81",81,"Ahmed et al 2018",2018,"China","Outdoor",30,120,0,"Silt loam",25,8.02,NA,"Maize","zUrea","Incorporated","Ventilated chambers",2.73,28.8,0.6,3,220,44,11.9,0,NA,NA,NA,"n",0.005,4.8,NA,NA,NA,NA,NA,NA,NA,NA,"NBPT+DCD",6.4,NA,"SD=SE  Split application  first emission event not completed","Urea+"
"82",82,"Ahmed et al 2018",2018,"China","Outdoor",29,81,0,"Loam",20.5,7.96,NA,"Maize","zUrea","Incorporated","Ventilated chambers",1.84,17.5,0.5,3,220,44,5.8,0,NA,NA,NA,"n",0.005,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"NBPT+DCD",0.9,NA,"SD=SE  Split application  first emission event not completed","Urea+"
"83",83,"Ahmed et al 2018",2018,"China","Outdoor",29,81,0,"Silty clay loam",30.1,8.01,NA,"Maize","zUrea","Incorporated","Ventilated chambers",1.84,8.4,0.9,3,220,44,6.1,0,NA,NA,NA,"n",0.005,0.3,NA,NA,NA,NA,NA,NA,NA,NA,"NBPT+DCD",0.5,NA,"SD=SE  Split application  first emission event not completed","Urea+"
"138",138,"Al-Kanani et al. (1994)",1994,"Canada","Lab",23.1,NA,NA,"Clay",50,5.2,NA,"None","zUrea","Incorporated","Ventilated chambers",NA,9.9,NA,1,387,15,16,NA,NA,NA,"n","y",0.005,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"139",139,"Al-Kanani et al. (1994)",1994,"Canada","Lab",23.1,NA,NA,"Clay",50,5.2,NA,"None","zUrea","Liquid","Ventilated chambers",NA,15.9,NA,1,387,15,16,NA,NA,NA,"n","y",0.005,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"140",140,"Al-Kanani et al. (1994)",1994,"Canada","Lab",23.1,NA,NA,"Clay",50,5.2,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,20.6,NA,1,387,15,16,NA,NA,NA,"n","y",0.005,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"171",171,"Bacon et al. (1986)",1986,"Australia","Outdoor",NA,NA,0,"Clay loam",37,5.3,NA,"Cereal","zUrea","Broadcast","Ventilated chambers",NA,36.3,NA,1,100,8,12,NA,NA,NA,"y","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fertilizaion technique experiment  6 t/ha of rice stubble","Urea+"
"172",172,"Bacon et al. (1986)",1986,"Australia","Outdoor",NA,NA,0,"Clay loam",37,5.3,NA,"Cereal","zUrea","Incorporated","Ventilated chambers",NA,6.7,NA,1,100,8,12,NA,NA,NA,"y","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fertilizaion technique experiment  6 t/ha of rice stubble","Urea+"
"173",173,"Bacon et al. (1986)",1986,"Australia","Outdoor",NA,0,0,"Clay loam",37,5.3,NA,"Cereal","zUrea","Broadcast","Ventilated chambers",0,37,NA,1,100,12,12,111,NA,NA,"y","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Precipitation rate experiment   directly drilled into  6 t/ha of rice stubble  simulated rainfall","Urea+"
"174",174,"Bacon et al. (1986)",1986,"Australia","Outdoor",NA,20.4,0,"Clay loam",37,5.3,NA,"Cereal","zUrea","Broadcast","Ventilated chambers",1.7,37,NA,1,100,12,12,111,NA,NA,"y","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Precipitation rate experiment   directly drilled into  6 t/ha of rice stubble  simulated rainfall","Urea+"
"175",175,"Bacon et al. (1986)",1986,"Australia","Outdoor",NA,1.2,0,"Clay loam",37,5.3,NA,"Cereal","zUrea","Broadcast","Ventilated chambers",0.1,36,NA,1,100,12,12,108,NA,NA,"y","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Precipitation rate experiment   directly drilled into  6 t/ha of rice stubble  simulated rainfall","Urea+"
"176",176,"Bacon et al. (1986)",1986,"Australia","Outdoor",NA,2.4,0,"Clay loam",37,5.3,NA,"Cereal","zUrea","Broadcast","Ventilated chambers",0.2,33,NA,1,100,12,12,99,NA,NA,"y","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Precipitation rate experiment   directly drilled into  6 t/ha of rice stubble  simulated rainfall","Urea+"
"177",177,"Bacon et al. (1986)",1986,"Australia","Outdoor",NA,4.8,0,"Clay loam",37,5.3,NA,"Cereal","zUrea","Broadcast","Ventilated chambers",0.4,30,NA,1,100,12,12,90,NA,NA,"y","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Precipitation rate experiment   directly drilled into  6 t/ha of rice stubble  simulated rainfall","Urea+"
"178",178,"Bacon et al. (1986)",1986,"Australia","Outdoor",NA,10.8,0,"Clay loam",37,5.3,NA,"Cereal","zUrea","Broadcast","Ventilated chambers",0.9,38,NA,1,100,12,12,114,NA,NA,"y","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Precipitation rate experiment   directly drilled into  6 t/ha of rice stubble  simulated rainfall","Urea+"
"179",179,"Bacon et al. (1986)",1986,"Australia","Outdoor",NA,40.8,0,"Clay loam",37,5.3,NA,"Cereal","zUrea","Broadcast","Ventilated chambers",3.4,28,NA,1,100,12,12,84,NA,NA,"y","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Precipitation rate experiment   directly drilled into  6 t/ha of rice stubble  simulated rainfall","Urea+"
"182",184,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","AS","Broadcast","Ventilated chambers",NA,2.8,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ammonium+1"
"183",185,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"clay loam",40,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,2.7,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"184",186,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,0.1,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"185",187,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,3.6,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"186",188,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,4.6,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"187",189,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,6.3,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"188",190,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,7.8,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"189",191,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,8.9,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"190",192,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,9.2,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"191",193,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,10.7,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"192",194,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,11,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"193",195,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,12.9,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"194",196,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,15.7,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"195",197,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,20.6,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"196",198,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Incorporated","Ventilated chambers",NA,0.1,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"197",199,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,NA,NA,"None","zUrea","Incorporated","Ventilated chambers",NA,3.6,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"198",200,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,7.4,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,7.1,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"199",201,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,8.4,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,11.3,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"200",202,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"loam",20,9.4,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,17.6,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"201",203,"Basdeo and Gangwar (1976)",1976,"India","Lab",NA,NA,NA,"sandy loam",10,NA,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,10.6,NA,1,NA,NA,NA,NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"253",255,"Black et al. (1989)",1989,"New Zealand","Outdoor",11,NA,0,"silt loam",20.6,6.1,NA,"None","AS","Broadcast","Ventilated chambers",NA,0.6,NA,4,100,10,41,NA,NA,7,"n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ammonium+1"
"254",256,"Black et al. (1989)",1989,"New Zealand","Outdoor",11,NA,0,"silt loam",20.6,6.1,NA,"Cereal","zUrea","Broadcast","Micromet",NA,21.2,NA,1,100,10,41,NA,2,7,"n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"255",257,"Black et al. (1989)",1989,"New Zealand","Outdoor",11,NA,0,"silt loam",20.6,6.1,NA,"Cereal","zUrea","Broadcast","Ventilated chambers",NA,21,NA,4,100,10,41,NA,NA,7,"n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"256",258,"Black et al. (1989)",1989,"New Zealand","Outdoor",11,NA,0,"silt loam",20.6,6.1,NA,"Cereal","zUrea","Incorporated","Ventilated chambers",NA,1,NA,4,100,10,41,NA,NA,7,"n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"257",259,"Black et al. (1989)",1989,"New Zealand","Outdoor",11,NA,0,"silt loam",20.6,6.1,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,13.1,NA,4,100,10,41,NA,NA,7,"n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"258",260,"Black et al. (1989)",1989,"New Zealand","Outdoor",11,NA,0,"silt loam",20.6,6.1,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,21.1,NA,4,100,10,41,NA,NA,7,"n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"259",261,"Black et al. (1989)",1989,"New Zealand","Outdoor",11,NA,0,"silt loam",20.6,6.1,NA,"Cereal","zUrea","Broadcast","Ventilated chambers",NA,24.1,NA,4,100,10,41,NA,NA,7,"n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"260",262,"Black et al. (1989)",1989,"New Zealand","Outdoor",11,NA,0,"silt loam",20.6,6.1,NA,"Grass","zUrea","Broadcast","Ventilated chambers",NA,22.8,NA,4,100,10,41,NA,NA,7,"n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"261",263,"Black et al. (1989)",1989,"New Zealand","Outdoor",11,NA,0,"silt loam",20.6,6.1,NA,"None","zUrea","Broadcast","Ventilated chambers",NA,29,NA,4,100,10,41,NA,NA,7,"n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"271",273,"Bouwmeester et al. (1985)",1985,"USA","Lab",25,24,NA,"silty clay",47,7.4,30,"Cereal","zUrea","Broadcast","Windtunnel",3.2,0,NA,1,50,8,10,24,1.74,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"272",274,"Bouwmeester et al. (1985)",1985,"USA","Lab",25,16,NA,"silty clay",47,7.4,30,"Cereal","zUrea","Broadcast","Windtunnel",2.13,7.5,NA,1,50,8,10,16,3.45,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"273",275,"Bouwmeester et al. (1985)",1985,"USA","Lab",25,16,NA,"silty clay",47,7.4,30,"Cereal","zUrea","Broadcast","Windtunnel",2.13,10,NA,1,50,8,10,16,1.74,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"274",276,"Bouwmeester et al. (1985)",1985,"USA","Lab",25,16,NA,"silty clay",47,7.4,30,"Cereal","zUrea","Broadcast","Windtunnel",2.13,13,NA,1,50,8,10,16,2.21,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"275",277,"Bouwmeester et al. (1985)",1985,"USA","Lab",25,16,NA,"silty clay",47,7.4,30,"Cereal","zUrea","Broadcast","Windtunnel",2.13,19,NA,1,50,8,10,16,1.74,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"276",278,"Bouwmeester et al. (1985)",1985,"USA","Lab",25,16,NA,"silty clay",47,7.4,30,"Cereal","zUrea","Incorporated","Windtunnel",2.13,3,NA,1,50,8,10,16,1.8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"277",279,"Bouwmeester et al. (1985)",1985,"USA","Lab",25,0,NA,"silty clay",47,7.4,30,"Cereal","zUrea","Broadcast","Windtunnel",0,25,NA,1,50,8,10,0,1.74,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
