;ID;Ref;Year;Country;Place;AirTemperature;Rainfall;irrigation;SoilType;Clay;SoilpH;SoilCEC;Crop;FertiliserType;Application;Depth;Method;set;id;WaterPerDay;NH3loss;SD;Reps;Application.rate;Duration;SOC;Rain.72h;Wind.7d;Temp.7d;Residues;chk;NBPT.dose;NBPT.NH3loss;NBPT.dose.1;NBPT.NH3loss.1;NBPT.dose.2;NBPT.NH3loss.2;NBPT.dose.3;NBPT.NH3loss.3;NBPT.dose.4;NBPT.NH3loss.4;inhibitor;inhibitor.NH3.loss;inhibitor.dose;Notes;Fertiliser
782;824;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Broadcast;2.5;Ventilated chambers;5;ref;NA;66;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
780;822;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Incorporated;10;Ventilated chambers;6;treat;NA;60;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
782;824;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Broadcast;10;Ventilated chambers;6;ref;NA;66;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
1022;1068;Hamid and Mahler (1994);1994;USA;Lab;25;NA;NA;Silt loam;15;5.8;NA;None;zUrea;Broadcast;;Ventilated chambers;1;ref;NA;18.7;NA;5;200;16;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1023;1069;Hamid and Mahler (1994);1994;USA;Lab;25;NA;NA;Silt loam;15;7.1;NA;None;zUrea;Broadcast;;Ventilated chambers;2;ref;NA;37.8;NA;5;200;16;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1024;1070;Hamid and Mahler (1994);1994;USA;Lab;25;NA;NA;Silt loam;15;7.7;NA;None;zUrea;Broadcast;;Ventilated chambers;3;ref;NA;4.9;NA;5;200;16;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1025;1071;Hamid and Mahler (1994);1994;USA;Lab;25;NA;NA;Silt loam;15;5.8;NA;None;zUrea;Incorporated;;Ventilated chambers;1;treat;NA;2;NA;5;200;16;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1026;1072;Hamid and Mahler (1994);1994;USA;Lab;25;NA;NA;Silt loam;15;7.1;NA;None;zUrea;Incorporated;;Ventilated chambers;2;treat;NA;6;NA;5;200;16;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1027;1073;Hamid and Mahler (1994);1994;USA;Lab;25;NA;NA;Silt loam;15;7.7;NA;None;zUrea;Incorporated;;Ventilated chambers;3;treat;NA;2;NA;5;200;16;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1119;1171;Ismail et al (1990);1990;USA;Lab;27.5;NA;NA;loamy sand;10;7.03;NA;None;zUrea;Broadcast;10;Ventilated chambers;1;ref;NA;59.2;NA;2;486;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1120;1172;Ismail et al (1990);1990;USA;Lab;27.5;NA;NA;loamy sand;10;7;NA;None;zUrea;Incorporated;10;Ventilated chambers;1;treat;NA;0;NA;2;486;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1119;1171;Ismail et al (1990);1990;USA;Lab;27.5;NA;NA;loamy sand;10;7.03;NA;None;zUrea;Broadcast;5;Ventilated chambers;2;ref;NA;59.2;NA;2;486;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1121;1173;Ismail et al (1990);1990;USA;Lab;27.5;NA;NA;loamy sand;10;7.02;NA;None;zUrea;Incorporated;5;Ventilated chambers;2;treat;NA;4.3;NA;2;486;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
