;ID;Ref;Year;Country;Place;AirTemperature;Rainfall;irrigation;SoilType;Clay;SoilpH;SoilCEC;Crop;FertiliserType;Application;Depth;Method;set;id;WaterPerDay;NH3loss;SD;Reps;Application.rate;Duration;SOC;Rain.72h;Wind.7d;Temp.7d;Residues;chk;NBPT.dose;NBPT.NH3loss;NBPT.dose.1;NBPT.NH3loss.1;NBPT.dose.2;NBPT.NH3loss.2;NBPT.dose.3;NBPT.NH3loss.3;NBPT.dose.4;NBPT.NH3loss.4;inhibitor;inhibitor.NH3.loss;inhibitor.dose;Notes;Fertiliser
2583;2724;Woodley et al. 2020;2020;Canada;Outdoor;19;170;0;Clay loam;37;6.4;13.5;Maize;zUrea;Incorporated;;Windtunnel;1;treat;6.07;5.2;NA;3;180;28;23.1;0;NA;NA;n;y;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NBPT+DCD;5.1;NA;after rainfall events irrigation by hand under the wind tunnel the day after;Urea+
2584;2725;Woodley et al. 2020;2020;Canada;Outdoor;21;45;0;Clay loam;37;6.4;13.5;Maize;zUrea;Broadcast;;Windtunnel;2;ref;1.61;9.1;NA;3;180;28;23.1;0;NA;NA;n;y;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NBPT+DCD;5.8;NA;after rainfall events irrigation by hand under the wind tunnel the day after;Urea+
2585;2726;Woodley et al. 2020;2020;Canada;Outdoor;21;45;0;Clay loam;37;6.4;13.5;Maize;zUrea;Incorporated;;Windtunnel;2;treat;1.61;7.9;NA;3;180;28;23.1;0;NA;NA;n;y;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NBPT+DCD;5.4;NA;after rainfall events irrigation by hand under the wind tunnel the day after;Urea+
2586;2727;Woodley et al. 2020;2020;Canada;Outdoor;19;20;0;Clay loam;37;6.4;13.5;Maize;zUrea;Broadcast;;Windtunnel;3;ref;0.71;12;NA;3;180;28;23.1;0;NA;NA;n;y;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NBPT+DCD;4.1;NA;after rainfall events irrigation by hand under the wind tunnel the day after;Urea+
2587;2728;Woodley et al. 2020;2020;Canada;Outdoor;19;20;0;Clay loam;37;6.4;13.5;Maize;zUrea;Incorporated;;Windtunnel;3;treat;0.71;10.7;NA;3;180;28;23.1;0;NA;NA;n;y;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NBPT+DCD;3.4;NA;after rainfall events irrigation by hand under the wind tunnel the day after;Urea+
;;Rochette et al. 2013;2013;Canada;Outdoor;;;;Silt loam;19.1;;17.73;Weeds;zUrea;Broadcast;2.5;Windtunnel;1;ref;;50.3;;;;;;;;;;;;;;;;;;;;;;;;;
;;Rochette et al. 2013;2013;Canada;Outdoor;;;;Silt loam;19.1;;17.73;Weeds;zUrea;Incorporated;2.5;Windtunnel;1;treat;;38.4;;;;;;;;;;;;;;;;;;;;;;;;;
;;Rochette et al. 2013;2013;Canada;Outdoor;;;;Silt loam;19.1;;17.73;Weeds;zUrea;Broadcast;5;Windtunnel;2;ref;;50.3;;;;;;;;;;;;;;;;;;;;;;;;;
;;Rochette et al. 2013;2013;Canada;Outdoor;;;;Silt loam;19.1;;17.73;Weeds;zUrea;Incorporated;5;Windtunnel;2;treat;;8.6;;;;;;;;;;;;;;;;;;;;;;;;;
;;Rochette et al. 2013;2013;Canada;Outdoor;;;;Silt loam;19.1;;17.73;Weeds;zUrea;Broadcast;7.5;Windtunnel;3;ref;;50.3;;;;;;;;;;;;;;;;;;;;;;;;;
;;Rochette et al. 2013;2013;Canada;Outdoor;;;;Silt loam;19.1;;17.73;Weeds;zUrea;Incorporated;7.5;Windtunnel;3;treat;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;
;;Rochette et al. 2013;2013;Canada;Outdoor;;;;Silt loam;19.1;;17.73;Weeds;zUrea;Broadcast;10;Windtunnel;4;ref;;50.3;;;;;;;;;;;;;;;;;;;;;;;;;
;;Rochette et al. 2013;2013;Canada;Outdoor;;;;Silt loam;19.1;;17.73;Weeds;zUrea;Incorporated;10;Windtunnel;4;treat;;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Broadcast;2;Flux chamber;1;ref;;31;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Incorporated;2;Flux chamber;1;treat;;32;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Broadcast;5;Flux chamber;2;ref;;31;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Injected;5;Flux chamber;2;treat;;8;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Broadcast;5;Flux chamber;3;ref;;31;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Injected;5;Flux chamber;3;treat;;18;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Broadcast;2;Flux chamber;4;ref;;35;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Incorporated;2;Flux chamber;4;treat;;33;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Broadcast;5;Flux chamber;5;ref;;35;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Injected;5;Flux chamber;5;treat;;29;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Broadcast;5;Flux chamber;6;ref;;35;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Sandy;7.2;6.6;;None;zUrea;Injected;5;Flux chamber;6;treat;;29;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Broadcast;2;Flux chamber;7;ref;;23;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Incorporated;2;Flux chamber;7;treat;;25;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Broadcast;5;Flux chamber;8;ref;;23;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Injected;5;Flux chamber;8;treat;;11;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Broadcast;5;Flux chamber;9;ref;;23;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Injected;5;Flux chamber;9;treat;;7;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Broadcast;2;Flux chamber;10;ref;;28;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Incorporated;2;Flux chamber;10;treat;;24;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Broadcast;5;Flux chamber;11;ref;;28;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Injected;5;Flux chamber;11;treat;;4;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Broadcast;5;Flux chamber;12;ref;;28;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Loamy;13;6;;None;zUrea;Injected;5;Flux chamber;12;treat;;19;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Broadcast;2;Flux chamber;13;ref;;23;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Incorporated;2;Flux chamber;13;treat;;10;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Broadcast;5;Flux chamber;14;ref;;23;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Injected;5;Flux chamber;14;treat;;7;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Broadcast;5;Flux chamber;15;ref;;23;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Injected;5;Flux chamber;15;treat;;7;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Broadcast;2;Flux chamber;16;ref;;28;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Incorporated;2;Flux chamber;16;treat;;20;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Broadcast;5;Flux chamber;17;ref;;28;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Injected;5;Flux chamber;17;treat;;7;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Broadcast;5;Flux chamber;18;ref;;28;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2023;2023;Germany;Lab;20;;;Clayey;21.5;6.8;;None;zUrea;Injected;5;Flux chamber;18;treat;;5;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2025;2025;Germany;Lab;15;;;Sandy;7.2;6.6;7.5;None;zUrea;Broadcast;5;Flux chamber;1;ref;;46;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gotze et al., 2025;2025;Germany;Lab;15;;;Sandy;7.2;6.6;7.5;None;zUrea;Injected;5;Flux chamber;1;treat;;10;;;;;;;;;;;;;;;;;;;;;;;;;
